# Matter power spectrum P(k) at redshift z=1
# for k=1.05175e-05 to 30.0945 h/Mpc,
# number of wavenumbers equal to 1160
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051748324238e-05       1.656541586773e+01 
       1.063926995852e-05       1.675086732631e+01 
       1.076246689836e-05       1.693839800149e+01 
       1.088709039153e-05       1.712802336128e+01 
       1.101315695674e-05       1.731977381032e+01 
       1.114068330398e-05       1.751367198067e+01 
       1.126968633672e-05       1.770973946740e+01 
       1.140018315418e-05       1.790800525358e+01 
       1.153219105357e-05       1.810848674343e+01 
       1.166572753239e-05       1.831121439477e+01 
       1.180081029076e-05       1.851620800581e+01 
       1.193745723375e-05       1.872350079652e+01 
       1.207568647377e-05       1.893311039405e+01 
       1.221551633295e-05       1.914506779098e+01 
       1.235696534559e-05       1.935939772108e+01 
       1.250005226060e-05       1.957613216948e+01 
       1.264479604400e-05       1.979528745597e+01 
       1.279121588142e-05       2.001689694717e+01 
       1.293933118064e-05       2.024098815961e+01 
       1.308916157420e-05       2.046759261802e+01 
       1.324072692195e-05       2.069672918920e+01 
       1.339404731371e-05       2.092843100754e+01 
       1.354914307194e-05       2.116272701781e+01 
       1.370603475440e-05       2.139964575488e+01 
       1.386474315692e-05       2.163921636142e+01 
       1.402528931613e-05       2.188147102161e+01 
       1.418769451225e-05       2.212643465710e+01 
       1.435198027191e-05       2.237414332242e+01 
       1.451816837101e-05       2.262461962433e+01 
       1.468628083760e-05       2.287790471158e+01 
       1.485633995480e-05       2.313402600779e+01 
       1.502836826378e-05       2.339301205376e+01 
       1.520238856669e-05       2.365489946535e+01 
       1.537842392974e-05       2.391971529969e+01 
       1.555649768622e-05       2.418749798053e+01 
       1.573663343963e-05       2.445827931625e+01 
       1.591885506674e-05       2.473209315865e+01 
       1.610318672086e-05       2.500896963169e+01 
       1.628965283493e-05       2.528894447274e+01 
       1.647827812484e-05       2.557205681364e+01 
       1.666908759267e-05       2.585833649852e+01 
       1.686210653001e-05       2.614782418563e+01 
       1.705736052130e-05       2.644054218344e+01 
       1.725487544725e-05       2.673655426612e+01 
       1.745467748825e-05       2.703587094823e+01 
       1.765679312785e-05       2.733853251963e+01 
       1.786124915625e-05       2.764458931951e+01 
       1.806807267388e-05       2.795407376828e+01 
       1.827729109497e-05       2.826701298132e+01 
       1.848893215120e-05       2.858346368842e+01 
       1.870302389535e-05       2.890346202945e+01 
       1.891959470507e-05       2.922703630020e+01 
       1.913867328658e-05       2.955423073804e+01 
       1.936028867849e-05       2.988507993188e+01 
       1.958447025570e-05       3.021964053999e+01 
       1.981124773323e-05       3.055794947458e+01 
       2.004065117019e-05       3.090004185557e+01 
       2.027271097376e-05       3.124597723987e+01 
       2.050745790320e-05       3.159576763939e+01 
       2.074492307398e-05       3.194948063259e+01 
       2.098513796184e-05       3.230715813534e+01 
       2.122813440701e-05       3.266882726930e+01 
       2.147394461839e-05       3.303455811095e+01 
       2.172260117788e-05       3.340437841883e+01 
       2.197413704463e-05       3.377833992828e+01 
       2.222858555944e-05       3.415648191228e+01 
       2.248598044918e-05       3.453886056095e+01 
       2.274635583129e-05       3.492551899980e+01 
       2.300974621821e-05       3.531651730215e+01 
       2.327618652208e-05       3.571186166046e+01 
       2.354571205926e-05       3.611166306696e+01 
       2.381835855506e-05       3.651593062446e+01 
       2.409416214850e-05       3.692471986909e+01 
       2.437315939703e-05       3.733808724576e+01 
       2.465538728143e-05       3.775608242971e+01 
       2.494088321072e-05       3.817875477641e+01 
       2.522968502706e-05       3.860617104963e+01 
       2.552183101082e-05       3.903835117103e+01 
       2.581735988564e-05       3.947537849481e+01 
       2.611631082355e-05       3.991730644324e+01 
       2.641872345017e-05       4.036416166998e+01 
       2.672463784996e-05       4.081603330152e+01 
       2.703409457156e-05       4.127294776957e+01 
       2.734713463311e-05       4.173500179171e+01 
       2.766379952773e-05       4.220221219595e+01 
       2.798413122902e-05       4.267465989415e+01 
       2.830817219659e-05       4.315239077182e+01 
       2.863596538172e-05       4.363547062887e+01 
       2.896755423304e-05       4.412395796473e+01 
       2.930298270231e-05       4.461791330112e+01 
       2.964229525019e-05       4.511739782582e+01 
       2.998553685219e-05       4.562247341248e+01 
       3.033275300463e-05       4.613320262334e+01 
       3.068398973063e-05       4.664964847899e+01 
       3.103929358622e-05       4.717187636469e+01 
       3.139871166656e-05       4.769994891527e+01 
       3.176229161213e-05       4.823393315696e+01 
       3.213008161504e-05       4.877389326973e+01 
       3.250213042547e-05       4.931990010344e+01 
       3.287848735808e-05       4.987200936675e+01 
       3.325920229858e-05       5.043031066803e+01 
       3.364432571031e-05       5.099485569281e+01 
       3.403390864098e-05       5.156572035007e+01 
       3.442800272937e-05       5.214297463413e+01 
       3.482666021224e-05       5.272669117478e+01 
       3.522993393119e-05       5.331693856616e+01 
       3.563787733973e-05       5.391379574983e+01 
       3.605054451030e-05       5.451733204331e+01 
       3.646799014150e-05       5.512762370474e+01 
       3.689026956530e-05       5.574474643619e+01 
       3.731743875436e-05       5.636877374847e+01 
       3.774955432952e-05       5.699979085112e+01 
       3.818667356721e-05       5.763786312141e+01 
       3.862885440712e-05       5.828308652867e+01 
       3.907615545984e-05       5.893552761441e+01 
       3.952863601464e-05       5.959527102342e+01 
       3.998635604732e-05       6.026239870052e+01 
       4.044937622819e-05       6.093698309261e+01 
       4.091775793007e-05       6.161913726540e+01 
       4.139156323644e-05       6.230891808429e+01 
       4.187085494968e-05       6.300641607225e+01 
       4.235569659939e-05       6.371171087856e+01 
       4.284615245081e-05       6.442492133321e+01 
       4.334228751333e-05       6.514610329956e+01 
       4.384416754911e-05       6.587535672915e+01 
       4.435185908181e-05       6.661276963816e+01 
       4.486542940539e-05       6.735844130322e+01 
       4.538494659304e-05       6.811245527126e+01 
       4.591047950620e-05       6.887490019811e+01 
       4.644209780369e-05       6.964589134635e+01 
       4.697987195094e-05       7.042550621025e+01 
       4.752387322933e-05       7.121384325774e+01 
       4.807417374565e-05       7.201099641911e+01 
       4.863084644162e-05       7.281708604993e+01 
       4.919396510361e-05       7.363218922531e+01 
       4.976360437239e-05       7.445641581940e+01 
       5.033983975302e-05       7.528986285542e+01 
       5.092274762490e-05       7.613262694913e+01 
       5.151240525181e-05       7.698483339655e+01 
       5.210889079224e-05       7.784657285861e+01 
       5.271228330970e-05       7.871796782903e+01 
       5.332266278322e-05       7.959911479812e+01 
       5.394011011793e-05       8.049010000619e+01 
       5.456470715582e-05       8.139106563773e+01 
       5.519653668653e-05       8.230212265057e+01 
       5.583568245840e-05       8.322336166852e+01 
       5.648222918950e-05       8.415491650995e+01 
       5.713626257889e-05       8.509689981559e+01 
       5.779786931801e-05       8.604941585208e+01 
       5.846713710210e-05       8.701258569508e+01 
       5.914415464188e-05       8.798655307649e+01 
       5.982901167529e-05       8.897140466123e+01 
       6.052179897940e-05       8.996726140118e+01 
       6.122260838241e-05       9.097426950404e+01 
       6.193153277585e-05       9.199255587652e+01 
       6.264866612687e-05       9.302222982610e+01 
       6.337410349073e-05       9.406342261276e+01 
       6.410794102336e-05       9.511626485063e+01 
       6.485027599414e-05       9.618088390469e+01 
       6.560120679875e-05       9.725741713450e+01 
       6.636083297227e-05       9.834599376489e+01 
       6.712925520233e-05       9.944675116618e+01 
       6.790657534244e-05       1.005598112188e+02 
       6.869289642557e-05       1.016853388271e+02 
       6.948832267771e-05       1.028234543836e+02 
       7.029295953175e-05       1.039742991729e+02 
       7.110691364144e-05       1.051380181830e+02 
       7.193029289551e-05       1.063147470505e+02 
       7.276320643200e-05       1.075046544651e+02 
       7.360576465268e-05       1.087078597069e+02 
       7.445807923774e-05       1.099245284187e+02 
       7.532026316056e-05       1.111548081331e+02 
       7.619243070267e-05       1.123988469777e+02 
       7.707469746894e-05       1.136568038947e+02 
       7.796718040288e-05       1.149288245101e+02 
       7.886999780212e-05       1.162150728614e+02 
       7.978326933415e-05       1.175157161655e+02 
       8.070711605211e-05       1.188308941064e+02 
       8.164166041089e-05       1.201607907323e+02 
       8.258702628332e-05       1.215055510833e+02 
       8.354333897663e-05       1.228653656766e+02 
       8.451072524902e-05       1.242403704961e+02 
       8.548931332652e-05       1.256307574157e+02 
       8.647923291989e-05       1.270366932389e+02 
       8.748061524192e-05       1.284583517232e+02 
       8.849359302474e-05       1.298959116621e+02 
       8.951830053746e-05       1.313495288739e+02 
       9.055487360396e-05       1.328194227207e+02 
       9.160344962087e-05       1.343057428875e+02 
       9.266416757580e-05       1.358086782442e+02 
       9.373716806578e-05       1.373284160696e+02 
       9.482259331585e-05       1.388651419647e+02 
       9.592058719795e-05       1.404190538039e+02 
       9.703129525000e-05       1.419903230565e+02 
       9.815486469512e-05       1.435791804725e+02 
       9.929144446124e-05       1.451857849157e+02 
       1.004411852008e-04       1.468103503579e+02 
       1.016042393106e-04       1.484530734629e+02 
       1.027807609523e-04       1.501141580291e+02 
       1.039709060726e-04       1.517938100574e+02 
       1.051748324238e-04       1.534922324476e+02 
       1.063926995852e-04       1.552096361614e+02 
       1.076246689836e-04       1.569462356766e+02 
       1.088709039153e-04       1.587022361833e+02 
       1.101315695674e-04       1.604778628248e+02 
       1.114068330398e-04       1.622733368803e+02 
       1.126968633672e-04       1.640888615600e+02 
       1.140018315418e-04       1.659246840128e+02 
       1.153219105357e-04       1.677810112698e+02 
       1.166572753239e-04       1.696580787866e+02 
       1.180081029076e-04       1.715561123203e+02 
       1.193745723375e-04       1.734753514069e+02 
       1.207568647377e-04       1.754160311665e+02 
       1.221551633295e-04       1.773783872265e+02 
       1.235696534559e-04       1.793626632342e+02 
       1.250005226060e-04       1.813690998084e+02 
       1.264479604400e-04       1.833979465495e+02 
       1.279121588142e-04       1.854494485436e+02 
       1.293933118064e-04       1.875238630145e+02 
       1.308916157420e-04       1.896214392641e+02 
       1.324072692195e-04       1.917424349906e+02 
       1.339404731371e-04       1.938871111628e+02 
       1.354914307194e-04       1.960557335563e+02 
       1.370603475440e-04       1.982485642987e+02 
       1.386474315692e-04       2.004658722166e+02 
       1.402528931613e-04       2.027079314260e+02 
       1.418769451225e-04       2.049750135247e+02 
       1.435198027191e-04       2.072673957171e+02 
       1.451816837101e-04       2.095853622497e+02 
       1.468628083760e-04       2.119291963100e+02 
       1.485633995480e-04       2.142991819381e+02 
       1.502836826378e-04       2.166956104130e+02 
       1.520238856669e-04       2.191187745402e+02 
       1.537842392974e-04       2.215689701089e+02 
       1.555649768622e-04       2.240464973539e+02 
       1.573663343963e-04       2.265516594059e+02 
       1.591885506674e-04       2.290847561918e+02 
       1.610318672086e-04       2.316461044169e+02 
       1.628965283493e-04       2.342360146646e+02 
       1.647827812484e-04       2.368547990556e+02 
       1.666908759267e-04       2.395027818774e+02 
       1.686210653001e-04       2.421802835868e+02 
       1.705736052130e-04       2.448876287296e+02 
       1.725487544725e-04       2.476251498083e+02 
       1.745467748825e-04       2.503931749776e+02 
       1.765679312785e-04       2.531920506972e+02 
       1.786124915625e-04       2.560221063916e+02 
       1.806807267388e-04       2.588836900905e+02 
       1.827729109497e-04       2.617771549852e+02 
       1.848893215120e-04       2.647028403172e+02 
       1.870302389536e-04       2.676611135734e+02 
       1.891959470507e-04       2.706523300233e+02 
       1.913867328658e-04       2.736768466562e+02 
       1.936028867849e-04       2.767350356072e+02 
       1.958447025570e-04       2.798272684616e+02 
       1.981124773323e-04       2.829539174674e+02 
       2.004065117019e-04       2.861153619942e+02 
       2.027271097376e-04       2.893119808797e+02 
       2.050745790320e-04       2.925441624265e+02 
       2.074492307398e-04       2.958123063571e+02 
       2.098513796184e-04       2.991167944550e+02 
       2.122813440701e-04       3.024580311151e+02 
       2.147394461839e-04       3.058364165705e+02 
       2.172260117788e-04       3.092523617779e+02 
       2.197413704463e-04       3.127062785759e+02 
       2.222858555944e-04       3.161985771920e+02 
       2.248598044919e-04       3.197296795935e+02 
       2.274635583129e-04       3.233000132670e+02 
       2.300974621821e-04       3.269100054127e+02 
       2.327618652208e-04       3.305600856952e+02 
       2.354571205926e-04       3.342507049805e+02 
       2.381835855506e-04       3.379822868413e+02 
       2.409416214850e-04       3.417552985716e+02 
       2.437315939703e-04       3.455701781365e+02 
       2.465538728143e-04       3.494273863398e+02 
       2.494088321072e-04       3.533273812028e+02 
       2.522968502706e-04       3.572706295329e+02 
       2.552183101082e-04       3.612576054930e+02 
       2.581735988564e-04       3.652887785294e+02 
       2.611631082355e-04       3.693646349516e+02 
       2.641872345017e-04       3.734856566089e+02 
       2.672463784996e-04       3.776523335875e+02 
       2.703409457156e-04       3.818651550427e+02 
       2.734713463311e-04       3.861246385738e+02 
       2.766379952773e-04       3.904312694975e+02 
       2.798413122902e-04       3.947855689290e+02 
       2.830817219659e-04       3.991880491216e+02 
       2.863596538172e-04       4.036392317397e+02 
       2.896755423304e-04       4.081396405027e+02 
       2.930298270231e-04       4.126898069195e+02 
       2.964229525019e-04       4.172902680483e+02 
       2.998553685219e-04       4.219415660262e+02 
       3.033275300463e-04       4.266442459072e+02 
