# Matter power spectrum P(k) at redshift z=0
# for k=2.1122e-07 to 30.2907 h/Mpc,
# number of wavenumbers equal to 1500
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.112196734292e-07       1.014926574104e+00 
       2.136654819764e-07       1.026288882239e+00 
       2.161396116519e-07       1.037778393728e+00 
       2.186423903988e-07       1.049396532638e+00 
       2.211741499577e-07       1.061144738981e+00 
       2.237352259106e-07       1.073024468890e+00 
       2.263259577253e-07       1.085037194798e+00 
       2.289466888007e-07       1.097184405623e+00 
       2.315977665116e-07       1.109467606953e+00 
       2.342795422556e-07       1.121888321229e+00 
       2.369923714992e-07       1.134448087936e+00 
       2.397366138249e-07       1.147148463796e+00 
       2.425126329791e-07       1.159991022960e+00 
       2.453207969201e-07       1.172977357199e+00 
       2.481614778671e-07       1.186109076105e+00 
       2.510350523491e-07       1.199387807288e+00 
       2.539419012554e-07       1.212815196585e+00 
       2.568824098857e-07       1.226392908254e+00 
       2.598569680011e-07       1.240122625186e+00 
       2.628659698762e-07       1.254006049111e+00 
       2.659098143509e-07       1.268044900810e+00 
       2.689889048834e-07       1.282240920332e+00 
       2.721036496039e-07       1.296595867203e+00 
       2.752544613684e-07       1.311111520648e+00 
       2.784417578137e-07       1.325789679814e+00 
       2.816659614123e-07       1.340632163987e+00 
       2.849274995291e-07       1.355640812820e+00 
       2.882268044773e-07       1.370817486562e+00 
       2.915643135762e-07       1.386164066284e+00 
       2.949404692091e-07       1.401682454122e+00 
       2.983557188817e-07       1.417374573506e+00 
       3.018105152816e-07       1.433242369399e+00 
       3.053053163385e-07       1.449287808536e+00 
       3.088405852843e-07       1.465512879671e+00 
       3.124167907152e-07       1.481919593822e+00 
       3.160344066534e-07       1.498509984526e+00 
       3.196939126098e-07       1.515286108080e+00 
       3.233957936480e-07       1.532250043802e+00 
       3.271405404484e-07       1.549403894291e+00 
       3.309286493731e-07       1.566749785684e+00 
       3.347606225318e-07       1.584289867921e+00 
       3.386369678484e-07       1.602026315012e+00 
       3.425581991283e-07       1.619961325304e+00 
       3.465248361265e-07       1.638097121756e+00 
       3.505374046163e-07       1.656435952212e+00 
       3.545964364594e-07       1.674980089682e+00 
       3.587024696761e-07       1.693731832624e+00 
       3.628560485167e-07       1.712693505227e+00 
       3.670577235334e-07       1.731867457700e+00 
       3.713080516538e-07       1.751256066565e+00 
       3.756075962543e-07       1.770861734947e+00 
       3.799569272348e-07       1.790686892875e+00 
       3.843566210944e-07       1.810733997585e+00 
       3.888072610078e-07       1.831005533819e+00 
       3.933094369026e-07       1.851504014141e+00 
       3.978637455372e-07       1.872231979240e+00 
       4.024707905803e-07       1.893191998259e+00 
       4.071311826908e-07       1.914386669096e+00 
       4.118455395985e-07       1.935818618718e+00 
       4.166144861865e-07       1.957490503514e+00 
       4.214386545733e-07       1.979405009615e+00 
       4.263186841973e-07       2.001564853205e+00 
       4.312552219011e-07       2.023972780904e+00 
       4.362489220174e-07       2.046631570077e+00 
       4.413004464558e-07       2.069544029175e+00 
       4.464104647904e-07       2.092712998094e+00 
       4.515796543486e-07       2.116141348520e+00 
       4.568087003009e-07       2.139831984290e+00 
       4.620982957515e-07       2.163787841750e+00 
       4.674491418307e-07       2.188011890119e+00 
       4.728619477874e-07       2.212507131858e+00 
       4.783374310831e-07       2.237276603041e+00 
       4.838763174871e-07       2.262323373731e+00 
       4.894793411729e-07       2.287650548363e+00 
       4.951472448151e-07       2.313261266124e+00 
       5.008807796884e-07       2.339158701337e+00 
       5.066807057665e-07       2.365346063861e+00 
       5.125477918233e-07       2.391826599523e+00 
       5.184828155347e-07       2.418603590471e+00 
       5.244865635817e-07       2.445680355601e+00 
       5.305598317546e-07       2.473060250964e+00 
       5.367034250586e-07       2.500746670169e+00 
       5.429181578202e-07       2.528743044821e+00 
       5.492048537955e-07       2.557052844943e+00 
       5.555643462794e-07       2.585679579411e+00 
       5.619974782155e-07       2.614626796383e+00 
       5.685051023087e-07       2.643898083744e+00 
       5.750880811374e-07       2.673497069544e+00 
       5.817472872684e-07       2.703427422452e+00 
       5.884836033721e-07       2.733692852208e+00 
       5.952979223401e-07       2.764297110083e+00 
       6.021911474028e-07       2.795243989343e+00 
       6.091641922499e-07       2.826537325722e+00 
       6.162179811508e-07       2.858180997897e+00 
       6.233534490777e-07       2.890178927967e+00 
       6.305715418290e-07       2.922535081942e+00 
       6.378732161552e-07       2.955253470232e+00 
