# Matter power spectrum P(k) at redshift z=0.5
# for k=1.07642e-05 to 30.0995 h/Mpc,
# number of wavenumbers equal to 1158
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.076424809425e-05       2.360596157324e+01 
       1.088889221270e-05       2.387023321318e+01 
       1.101497964202e-05       2.413746864953e+01 
       1.114252709496e-05       2.440768912073e+01 
       1.127155147779e-05       2.468092925803e+01 
       1.140206989257e-05       2.495724748372e+01 
       1.153409963936e-05       2.523663437863e+01 
       1.166765821856e-05       2.551916956959e+01 
       1.180276333322e-05       2.580486526646e+01 
       1.193943289138e-05       2.609373994647e+01 
       1.207768500843e-05       2.638586782110e+01 
       1.221753800955e-05       2.668126753349e+01 
       1.235901043210e-05       2.697995682486e+01 
       1.250212102810e-05       2.728200159325e+01 
       1.264688876670e-05       2.758742644121e+01 
       1.279333283670e-05       2.789627100407e+01 
       1.294147264911e-05       2.820856767149e+01 
       1.309132783971e-05       2.852437035891e+01 
       1.324291827163e-05       2.884372026799e+01 
       1.339626403803e-05       2.916663052510e+01 
       1.355138546471e-05       2.949313914779e+01 
       1.370830311285e-05       2.982331851567e+01 
       1.386703778173e-05       3.015718336187e+01 
       1.402761051144e-05       3.049480724015e+01 
       1.419004258574e-05       3.083620510887e+01 
       1.435435553480e-05       3.118140540003e+01 
       1.452057113815e-05       3.153049276962e+01 
       1.468871142747e-05       3.188347083714e+01 
       1.485879868958e-05       3.224042356970e+01 
       1.503085546937e-05       3.260133988667e+01 
       1.520490457276e-05       3.296633024901e+01 
       1.538096906979e-05       3.333538644341e+01 
       1.555907229760e-05       3.370857544658e+01 
       1.573923786360e-05       3.408595666559e+01 
       1.592148964853e-05       3.446754023455e+01 
       1.610585180966e-05       3.485340120255e+01 
       1.629234878401e-05       3.524358424667e+01 
       1.648100529154e-05       3.563813683064e+01 
       1.667184633847e-05       3.603711697655e+01 
       1.686489722057e-05       3.644054674303e+01 
       1.706018352654e-05       3.684849311394e+01 
       1.725773114135e-05       3.726101383755e+01 
       1.745756624973e-05       3.767813402520e+01 
       1.765971533961e-05       3.809992084605e+01 
       1.786420520563e-05       3.852649712563e+01 
       1.807106295269e-05       3.895779636890e+01 
       1.828031599958e-05       3.939392628654e+01 
       1.849199208256e-05       3.983490822654e+01 
       1.870611925905e-05       4.028087285206e+01 
       1.892272591139e-05       4.073182382109e+01 
       1.914184075055e-05       4.118781520323e+01 
       1.936349281998e-05       4.164891166272e+01 
       1.958771149940e-05       4.211516593334e+01 
       1.981452650876e-05       4.258665504904e+01 
       2.004396791215e-05       4.306340343231e+01 
       2.027606612177e-05       4.354549020576e+01 
       2.051085190200e-05       4.403297483533e+01 
       2.074835637343e-05       4.452589809612e+01 
       2.098861101703e-05       4.502436710836e+01 
       2.123164767828e-05       4.552841435854e+01 
       2.147749857143e-05       4.603814103745e+01 
       2.172619628376e-05       4.655352515051e+01 
       2.197777377987e-05       4.707467369041e+01 
       2.223226440608e-05       4.760166963170e+01 
       2.248970189487e-05       4.813456619614e+01 
       2.275012036928e-05       4.867342745945e+01 
       2.301355434750e-05       4.921832647396e+01 
       2.328003874743e-05       4.976931368992e+01 
       2.354960889127e-05       5.032647479836e+01 
       2.382230051027e-05       5.088985614347e+01 
       2.409814974939e-05       5.145958406818e+01 
       2.437719317216e-05       5.203567083098e+01 
       2.465946776548e-05       5.261817786367e+01 
       2.494501094455e-05       5.320723122454e+01 
       2.523386055779e-05       5.380290506225e+01 
       2.552605489192e-05       5.440521218479e+01 
       2.582163267698e-05       5.501425873525e+01 
       2.612063309148e-05       5.563013138238e+01 
       2.642309576760e-05       5.625289977188e+01 
       2.672906079645e-05       5.688264449527e+01 
       2.703856873335e-05       5.751942892295e+01 
       2.735166060325e-05       5.816334079542e+01 
       2.766837790614e-05       5.881446190881e+01 
       2.798876262255e-05       5.947287712412e+01 
       2.831285721912e-05       6.013866922000e+01 
       2.864070465426e-05       6.081190448587e+01 
       2.897234838378e-05       6.149267563873e+01 
       2.930783236669e-05       6.218107195808e+01 
       2.964720107103e-05       6.287716301773e+01 
       2.999049947977e-05       6.358105067277e+01 
       3.033777309673e-05       6.429283110732e+01 
       3.068906795265e-05       6.501256297728e+01 
       3.104443061129e-05       6.574036107181e+01 
       3.140390817557e-05       6.647629783005e+01 
       3.176754829387e-05       6.722045435749e+01 
       3.213539916629e-05       6.797295913014e+01 
       3.250750955106e-05       6.873388954762e+01 
       3.288392877101e-05       6.950333191009e+01 
       3.326470672010e-05       7.028138032544e+01 
       3.364989387004e-05       7.106814857268e+01 
       3.403954127695e-05       7.186373684322e+01 
       3.443370058820e-05       7.266820328677e+01 
       3.483242404916e-05       7.348167226831e+01 
       3.523576451020e-05       7.430428613174e+01 
       3.564377543366e-05       7.513605078376e+01 
       3.605651090094e-05       7.597715734108e+01 
       3.647402561969e-05       7.682767706401e+01 
       3.689637493103e-05       7.768775146239e+01 
       3.732361481690e-05       7.855742174669e+01 
       3.775580190748e-05       7.943682617333e+01 
       3.819299348872e-05       8.032606356084e+01 
       3.863524750987e-05       8.122525246476e+01 
       3.908262259123e-05       8.213451420570e+01 
       3.953517803188e-05       8.305390852668e+01 
       3.999297381756e-05       8.398367931639e+01 
       4.045607062859e-05       8.492381630799e+01 
       4.092452984797e-05       8.587447686375e+01 
       4.139841356946e-05       8.683577599998e+01 
       4.187778460582e-05       8.780778758230e+01 
       4.236270649717e-05       8.879073063477e+01 
       4.285324351937e-05       8.978469444785e+01 
       4.334946069260e-05       9.078970975251e+01 
       4.385142378988e-05       9.180601774042e+01 
       4.435919934588e-05       9.283374941434e+01 
       4.487285466571e-05       9.387289031846e+01 
       4.539245783383e-05       9.492373392085e+01 
       4.591807772306e-05       9.598629952496e+01 
       4.644978400376e-05       9.706073262541e+01 
