# Matter power spectrum P(k) at redshift z=1
# for k=2.10401e-07 to 30.1733 h/Mpc,
# number of wavenumbers equal to 1500
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.104006806146e-07       3.753423671610e-01 
       2.128370056721e-07       3.795444006662e-01 
       2.153015420441e-07       3.837934767882e-01 
       2.177946164022e-07       3.880901221775e-01 
       2.203165592009e-07       3.924348693818e-01 
       2.228677047209e-07       3.968282569111e-01 
       2.254483911137e-07       4.012708293036e-01 
       2.280589604466e-07       4.057631371942e-01 
       2.306997587476e-07       4.103057373817e-01 
       2.333711360518e-07       4.148991928988e-01 
       2.360734464473e-07       4.195440730812e-01 
       2.388070481224e-07       4.242409536356e-01 
       2.415723034131e-07       4.289904167214e-01 
       2.443695788509e-07       4.337930510106e-01 
       2.471992452117e-07       4.386494517651e-01 
       2.500616775648e-07       4.435602209100e-01 
       2.529572553223e-07       4.485259671113e-01 
       2.558863622900e-07       4.535473058496e-01 
       2.588493867179e-07       4.586248594951e-01 
       2.618467213516e-07       4.637592573846e-01 
       2.648787634846e-07       4.689511359001e-01 
       2.679459150107e-07       4.742011385489e-01 
       2.710485824777e-07       4.795099160427e-01 
       2.741871771407e-07       4.848781263784e-01 
       2.773621150171e-07       4.903064349190e-01 
       2.805738169414e-07       4.957955144772e-01 
       2.838227086212e-07       5.013460453975e-01 
       2.871092206936e-07       5.069587156402e-01 
       2.904337887822e-07       5.126342208659e-01 
       2.937968535549e-07       5.183732645257e-01 
       2.971988607824e-07       5.241765579458e-01 
       3.006402613969e-07       5.300448204169e-01 
       3.041215115524e-07       5.359787792808e-01 
       3.076430726849e-07       5.419791700212e-01 
       3.112054115734e-07       5.480467363568e-01 
       3.148090004022e-07       5.541822303333e-01 
       3.184543168229e-07       5.603864124154e-01 
       3.221418440184e-07       5.666600515800e-01 
       3.258720707664e-07       5.730039254130e-01 
       3.296454915045e-07       5.794188202063e-01 
       3.334626063953e-07       5.859055310547e-01 
       3.373239213935e-07       5.924648619546e-01 
       3.412299483120e-07       5.990976259024e-01 
       3.451812048906e-07       6.058046449963e-01 
       3.491782148640e-07       6.125867505381e-01 
       3.532215080316e-07       6.194447831359e-01 
       3.573116203274e-07       6.263795928090e-01 
       3.614490938915e-07       6.333920390930e-01 
       3.656344771415e-07       6.404829911467e-01 
       3.698683248455e-07       6.476533278581e-01 
       3.741511981952e-07       6.549039379556e-01 
       3.784836648810e-07       6.622357201174e-01 
       3.828662991666e-07       6.696495830809e-01 
       3.872996819654e-07       6.771464457578e-01 
       3.917844009176e-07       6.847272373484e-01 
       3.963210504678e-07       6.923928974547e-01 
       4.009102319439e-07       7.001443761989e-01 
       4.055525536370e-07       7.079826343430e-01 
       4.102486308819e-07       7.159086433996e-01 
       4.149990861383e-07       7.239233857568e-01 
       4.198045490742e-07       7.320278548012e-01 
       4.246656566483e-07       7.402230550415e-01 
       4.295830531952e-07       7.485100022323e-01 
       4.345573905105e-07       7.568897235003e-01 
       4.395893279372e-07       7.653632574707e-01 
       4.446795324532e-07       7.739316543967e-01 
       4.498286787596e-07       7.825959762896e-01 
       4.550374493700e-07       7.913572970500e-01 
       4.603065347016e-07       8.002167025998e-01 
       4.656366331657e-07       8.091752910151e-01 
       4.710284512612e-07       8.182341726758e-01 
       4.764827036676e-07       8.273944703867e-01 
       4.820001133404e-07       8.366573195224e-01 
       4.875814116061e-07       8.460238681685e-01 
       4.932273382598e-07       8.554952772639e-01 
       4.989386416629e-07       8.650727207432e-01 
       5.047160788425e-07       8.747573856541e-01 
       5.105604155917e-07       8.845504723922e-01 
       5.164724265709e-07       8.944531947650e-01 
       5.224528954109e-07       9.044667801744e-01 
       5.285026148163e-07       9.145924697611e-01 
       5.346223866708e-07       9.248315185575e-01 
       5.408130221436e-07       9.351851956407e-01 
       5.470753417966e-07       9.456547842929e-01 
       5.534101756937e-07       9.562415821685e-01 
       5.598183635101e-07       9.669469014503e-01 
       5.663007546442e-07       9.777720690124e-01 
       5.728582083300e-07       9.887184265841e-01 
       5.794915937507e-07       9.997873309164e-01 
       5.862017901546e-07       1.010980153949e+00 
       5.929896869707e-07       1.022298282981e+00 
       5.998561839276e-07       1.033743120841e+00 
       6.068021911719e-07       1.045316086063e+00 
       6.138286293894e-07       1.057018613061e+00 
       6.209364299268e-07       1.068852152307e+00 
       6.281265349154e-07       1.080818170513e+00 
       6.353998973959e-07       1.092918150813e+00 
       6.427574814446e-07       1.105153592940e+00 
       6.502002623012e-07       1.117526013416e+00 
       6.577292264983e-07       1.130036945741e+00 
       6.653453719919e-07       1.142687940603e+00 
       6.730497082939e-07       1.155480566032e+00 
       6.808432566057e-07       1.168416407612e+00 
       6.887270499538e-07       1.181497068682e+00 
       6.967021333263e-07       1.194724170529e+00 
       7.047695638119e-07       1.208099352585e+00 
       7.129304107398e-07       1.221624272651e+00 
       7.211857558215e-07       1.235300607090e+00 
       7.295366932939e-07       1.249130051008e+00 
       7.379843300648e-07       1.263114318498e+00 
       7.465297858593e-07       1.277255142855e+00 
