# Matter power spectrum P(k) at redshift z=0.5
# for k=1.06561e-05 to 30.142 h/Mpc,
# number of wavenumbers equal to 1159
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065605463886e-05       2.506692681299e+01 
       1.077944593615e-05       2.534755743575e+01 
       1.090426603731e-05       2.563131952930e+01 
       1.103053148713e-05       2.591826696964e+01 
       1.115825902195e-05       2.620843101679e+01 
       1.128746557191e-05       2.650182922093e+01 
       1.141816826321e-05       2.679852732449e+01 
       1.155038442035e-05       2.709853701890e+01 
       1.168413156843e-05       2.740191356699e+01 
       1.181942743549e-05       2.770867335852e+01 
       1.195628995486e-05       2.801886835741e+01 
       1.209473726751e-05       2.833255242283e+01 
       1.223478772448e-05       2.864974002589e+01 
       1.237645988932e-05       2.897048204847e+01 
       1.251977254050e-05       2.929480173549e+01 
       1.266474467398e-05       2.962276054674e+01 
       1.281139550565e-05       2.995440017163e+01 
       1.295974447391e-05       3.028973571601e+01 
       1.310981124227e-05       3.062883028629e+01 
       1.326161570190e-05       3.097172893236e+01 
       1.341517797433e-05       3.131846663697e+01 
       1.357051841408e-05       3.166908177631e+01 
       1.372765761134e-05       3.202360977075e+01 
       1.388661639474e-05       3.238211656377e+01 
       1.404741583411e-05       3.274463812738e+01 
       1.421007724323e-05       3.311121258461e+01 
       1.437462218270e-05       3.348188816970e+01 
       1.454107246277e-05       3.385672684134e+01 
       1.470945014624e-05       3.423577394727e+01 
       1.487977755139e-05       3.461902966520e+01 
       1.505207725495e-05       3.500659818669e+01 
       1.522637209504e-05       3.539849314887e+01 
       1.540268517426e-05       3.579478508258e+01 
       1.558103986271e-05       3.619551442043e+01 
       1.576145980112e-05       3.660073290065e+01 
       1.594396890396e-05       3.701046702254e+01 
       1.612859136260e-05       3.742477945041e+01 
       1.631535164856e-05       3.784375158270e+01 
       1.650427451671e-05       3.826743856453e+01 
       1.669538500857e-05       3.869585186022e+01 
       1.688870845563e-05       3.912904509458e+01 
       1.708427048270e-05       3.956709002318e+01 
       1.728209701132e-05       4.001005627550e+01 
       1.748221426318e-05       4.045796164621e+01 
       1.768464876360e-05       4.091089601322e+01 
       1.788942734506e-05       4.136889299562e+01 
       1.809657715074e-05       4.183201019661e+01 
       1.830612563812e-05       4.230029994926e+01 
       1.851810058262e-05       4.277383167067e+01 
       1.873253008129e-05       4.325268068964e+01 
       1.894944255654e-05       4.373690537527e+01 
       1.916886675988e-05       4.422655047053e+01 
       1.939083177574e-05       4.472165884165e+01 
       1.961536702535e-05       4.522231631751e+01 
       1.984250227061e-05       4.572857729014e+01 
       2.007226761805e-05       4.624052034719e+01 
       2.030469352283e-05       4.675815646926e+01 
       2.053981079274e-05       4.728162645689e+01 
       2.077765059232e-05       4.781093842988e+01 
       2.101824444698e-05       4.834617781227e+01 
       2.126162424718e-05       4.888742363695e+01 
       2.150782225264e-05       4.943470091416e+01 
       2.175687109664e-05       4.998813264049e+01 
       2.200880379034e-05       5.054772297533e+01 
       2.226365372715e-05       5.111360622280e+01 
       2.252145468714e-05       5.168581912038e+01 
       2.278224084156e-05       5.226444794250e+01 
       2.304604675732e-05       5.284954049999e+01 
       2.331290740162e-05       5.344117881295e+01 
       2.358285814654e-05       5.403943969948e+01 
       2.385593477377e-05       5.464441004377e+01 
       2.413217347931e-05       5.525616208496e+01 
       2.441161087830e-05       5.587472764115e+01 
       2.469428400988e-05       5.650024011543e+01 
       2.498023034205e-05       5.713274926337e+01 
       2.526948777670e-05       5.777234628020e+01 
       2.556209465458e-05       5.841909699020e+01 
       2.585808976042e-05       5.907307890271e+01 
       2.615751232805e-05       5.973439875819e+01 
       2.646040204560e-05       6.040311621343e+01 
       2.676679906079e-05       6.107930215202e+01 
       2.707674398620e-05       6.176307829407e+01 
       2.739027790469e-05       6.245450014893e+01 
       2.770744237486e-05       6.315365990800e+01 
       2.802827943649e-05       6.386065506558e+01 
       2.835283161621e-05       6.457554945610e+01 
       2.868114193305e-05       6.529845963480e+01 
       2.901325390419e-05       6.602945643044e+01 
       2.934921155070e-05       6.676863037833e+01 
       2.968905940342e-05       6.751608916215e+01 
       3.003284250880e-05       6.827190926444e+01 
       3.038060643492e-05       6.903619288308e+01 
       3.073239727752e-05       6.980902916883e+01 
       3.108826166610e-05       7.059050841774e+01 
       3.144824677008e-05       7.138074171419e+01 
       3.181240030511e-05       7.217981131846e+01 
       3.218077053934e-05       7.298785018009e+01 
       3.255340629985e-05       7.380491692797e+01 
       3.293035697910e-05       7.463112559878e+01 
       3.331167254150e-05       7.546657352560e+01 
       3.369740353002e-05       7.631139015711e+01 
       3.408760107287e-05       7.716565475821e+01 
       3.448231689032e-05       7.802948535761e+01 
       3.488160330153e-05       7.890298652812e+01 
       3.528551323147e-05       7.978626919496e+01 
       3.569410021797e-05       8.067943761816e+01 
       3.610741841879e-05       8.158261030535e+01 
       3.652552261882e-05       8.249586022046e+01 
       3.694846823730e-05       8.341936247770e+01 
       3.737631133523e-05       8.435317527179e+01 
       3.780910862274e-05       8.529745490267e+01 
       3.824691746664e-05       8.625231188274e+01 
       3.868979589803e-05       8.721785476910e+01 
       3.913780261996e-05       8.819418075582e+01 
       3.959099701523e-05       8.918147245284e+01 
       4.004943915427e-05       9.017978587408e+01 
       4.051318980309e-05       9.118926414224e+01 
       4.098231043134e-05       9.221008364124e+01 
       4.145686322044e-05       9.324229117769e+01 
       4.193691107186e-05       9.428606487091e+01 
       4.242251761542e-05       9.534151130941e+01 
       4.291374721774e-05       9.640876665878e+01 
       4.341066499077e-05       9.748798367955e+01 
       4.391333680042e-05       9.857924795775e+01 
       4.442182927530e-05       9.968276432833e+01 
       4.493620981553e-05       1.007986154550e+02 
       4.545654660170e-05       1.019269337085e+02 
       4.598290860389e-05       1.030679012731e+02 
       4.651536559081e-05       1.042216328214e+02 
       4.705398813905e-05       1.053882780187e+02 
       4.759884764245e-05       1.065679817504e+02 
       4.815001632155e-05       1.077608844949e+02 
       4.870756723316e-05       1.089671372605e+02 
       4.927157428005e-05       1.101868890701e+02 
       4.984211222074e-05       1.114202991261e+02 
       5.041925667941e-05       1.126675011746e+02 
       5.100308415595e-05       1.139286587925e+02 
       5.159367203605e-05       1.152039515705e+02 
       5.219109860149e-05       1.164934853427e+02 
       5.279544304052e-05       1.177974607557e+02 
       5.340678545834e-05       1.191160299169e+02 
       5.402520688772e-05       1.204493436124e+02 
       5.465078929976e-05       1.217975870706e+02 
       5.528361561472e-05       1.231609235331e+02 
       5.592376971306e-05       1.245395045703e+02 
       5.657133644649e-05       1.259335167446e+02 
       5.722640164929e-05       1.273431321674e+02 
       5.788905214965e-05       1.287684893766e+02 
       5.855937578116e-05       1.302098221931e+02 
       5.923746139451e-05       1.316672851949e+02 
       5.992339886920e-05       1.331410292554e+02 
       6.061727912550e-05       1.346313058806e+02 
       6.131919413650e-05       1.361381994479e+02 
       6.202923694025e-05       1.376619939321e+02 
       6.274750165218e-05       1.392028323124e+02 
       6.347408347749e-05       1.407609022249e+02 
       6.420907872380e-05       1.423364232752e+02 
       6.495258481395e-05       1.439295396107e+02 
       6.570470029887e-05       1.455404981289e+02 
       6.646552487064e-05       1.471694867999e+02 
       6.723515937574e-05       1.488166592999e+02 
       6.801370582839e-05       1.504823262445e+02 
       6.880126742408e-05       1.521665638231e+02 
       6.959794855324e-05       1.538696263416e+02 
       7.040385481509e-05       1.555918216746e+02 
       7.121909303164e-05       1.573332249387e+02 
       7.204377126183e-05       1.590941155214e+02 
       7.287799881587e-05       1.608747021215e+02 
       7.372188626971e-05       1.626751992386e+02 
       7.457554547973e-05       1.644958441890e+02 
       7.543908959751e-05       1.663368806125e+02 
       7.631263308492e-05       1.681984783751e+02 
       7.719629172918e-05       1.700808699030e+02 
       7.809018265829e-05       1.719843744755e+02 
       7.899442435653e-05       1.739091085301e+02 
       7.990913668015e-05       1.758554002254e+02 
       8.083444087329e-05       1.778234503751e+02 
       8.177045958400e-05       1.798135433720e+02 
       8.271731688057e-05       1.818258622755e+02 
       8.367513826789e-05       1.838606785510e+02 
       8.464405070415e-05       1.859182624049e+02 
       8.562418261765e-05       1.879988423433e+02 
       8.661566392381e-05       1.901027035053e+02 
       8.761862604241e-05       1.922300798210e+02 
       8.863320191498e-05       1.943812442159e+02 
       8.965952602247e-05       1.965564484297e+02 
       9.069773440301e-05       1.987559872227e+02 
       9.174796467000e-05       2.009801190382e+02 
       9.281035603034e-05       2.032291038277e+02 
       9.388504930284e-05       2.055032432949e+02 
       9.497218693693e-05       2.078028018500e+02 
       9.607191303153e-05       2.101280583920e+02 
       9.718437335414e-05       2.124793101617e+02 
       9.830971536017e-05       2.148568426567e+02 
       9.944808821248e-05       2.172609527715e+02 
       1.005996428012e-04       2.196919451011e+02 
       1.017645317636e-04       2.221501011990e+02 
       1.029429095044e-04       2.246357267336e+02 
       1.041349322164e-04       2.271491156891e+02 
       1.053407579008e-04       2.296906185722e+02 
       1.065605463886e-04       2.322605039016e+02 
       1.077944593615e-04       2.348591135663e+02 
       1.090426603731e-04       2.374867591787e+02 
       1.103053148713e-04       2.401437656588e+02 
       1.115825902195e-04       2.428304632826e+02 
       1.128746557191e-04       2.455471792675e+02 
       1.141816826321e-04       2.482942283429e+02 
       1.155038442035e-04       2.510719882103e+02 
       1.168413156843e-04       2.538807643904e+02 
       1.181942743549e-04       2.567209313922e+02 
       1.195628995486e-04       2.595928121211e+02 
       1.209473726751e-04       2.624967659775e+02 
       1.223478772448e-04       2.654331615149e+02 
       1.237645988932e-04       2.684023385443e+02 
       1.251977254050e-04       2.714046776207e+02 
       1.266474467398e-04       2.744405450033e+02 
       1.281139550565e-04       2.775103084555e+02 
       1.295974447391e-04       2.806143502165e+02 
       1.310981124227e-04       2.837530477261e+02 
       1.326161570190e-04       2.869267759243e+02 
       1.341517797433e-04       2.901359439080e+02 
       1.357051841408e-04       2.933809287453e+02 
       1.372765761134e-04       2.966621422692e+02 
       1.388661639474e-04       2.999799732253e+02 
       1.404741583411e-04       3.033348360133e+02 
       1.421007724323e-04       3.067271221832e+02 
       1.437462218270e-04       3.101572693164e+02 
       1.454107246277e-04       3.136256922503e+02 
       1.470945014624e-04       3.171328038371e+02 
       1.487977755139e-04       3.206790540407e+02 
       1.505207725495e-04       3.242466180616e+02 
       1.522637209504e-04       3.278720062973e+02 
       1.540268517426e-04       3.315378183180e+02 
       1.558103986271e-04       3.352445054869e+02 
       1.576145980112e-04       3.389925225461e+02 
       1.594396890396e-04       3.427823236898e+02 
       1.612859136260e-04       3.466143776070e+02 
       1.631535164856e-04       3.504891491322e+02 
       1.650427451671e-04       3.544071021663e+02 
       1.669538500857e-04       3.583687217897e+02 
       1.688870845563e-04       3.623745159983e+02 
       1.708427048270e-04       3.664248785043e+02 
       1.728209701132e-04       3.705204069884e+02 
       1.748221426318e-04       3.746615870419e+02 
       1.768464876360e-04       3.788488567215e+02 
       1.788942734506e-04       3.830827508663e+02 
       1.809657715074e-04       3.873638049370e+02 
       1.830612563812e-04       3.916925367205e+02 
       1.851810058262e-04       3.960694647974e+02 
       1.873253008129e-04       4.004951139066e+02 
       1.894944255654e-04       4.049700200221e+02 
       1.916886675988e-04       4.094947257624e+02 
       1.939083177574e-04       4.140698373998e+02 
       1.961536702535e-04       4.186957947438e+02 
       1.984250227061e-04       4.233731888970e+02 
       2.007226761805e-04       4.281026749814e+02 
       2.030469352283e-04       4.328846843307e+02 
       2.053981079274e-04       4.377199470864e+02 
       2.077765059232e-04       4.426088909701e+02 
