# Matter power spectrum P(k) at redshift z=1
# for k=1.02269e-05 to 30.2913 h/Mpc,
# number of wavenumbers equal to 1163
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.022687392990e-05       1.908012460405e+01 
       1.034529554880e-05       1.929372705118e+01 
       1.046508842541e-05       1.950972070353e+01 
       1.058626843816e-05       1.972813232603e+01 
       1.070885164932e-05       1.994898898451e+01 
       1.083285430717e-05       2.017231804750e+01 
       1.095829284812e-05       2.039814718919e+01 
       1.108518389892e-05       2.062650430297e+01 
       1.121354427884e-05       2.085741765616e+01 
       1.134339100191e-05       2.109090847181e+01 
       1.147474127917e-05       2.132702089004e+01 
       1.160761252096e-05       2.156577641436e+01 
       1.174202233921e-05       2.180720468932e+01 
       1.187798854981e-05       2.205133627613e+01 
       1.201552917492e-05       2.229820083908e+01 
       1.215466244541e-05       2.254783542991e+01 
       1.229540680324e-05       2.280025730193e+01 
       1.243778090392e-05       2.305550486953e+01 
       1.258180361900e-05       2.331360226667e+01 
       1.272749403851e-05       2.357460324743e+01 
       1.287487147357e-05       2.383851235004e+01 
       1.302395545890e-05       2.410538955410e+01 
       1.317476575542e-05       2.437524729711e+01 
       1.332732235287e-05       2.464811978318e+01 
       1.348164547246e-05       2.492405301453e+01 
       1.363775556956e-05       2.520307511527e+01 
       1.379567333638e-05       2.548522065778e+01 
       1.395541970477e-05       2.577052460039e+01 
       1.411701584892e-05       2.605902229324e+01 
       1.428048318823e-05       2.635074914155e+01 
       1.444584339011e-05       2.664574005400e+01 
       1.461311837289e-05       2.694404452099e+01 
       1.478233030869e-05       2.724567821673e+01 
       1.495350162635e-05       2.755067982476e+01 
       1.512665501446e-05       2.785910437270e+01 
       1.530181342430e-05       2.817099221974e+01 
       1.547900007294e-05       2.848636160215e+01 
       1.565823844628e-05       2.880525021354e+01 
       1.583955230216e-05       2.912771856217e+01 
       1.602296567354e-05       2.945379585248e+01 
       1.620850287166e-05       2.978352721733e+01 
       1.639618848929e-05       3.011695070950e+01 
       1.658604740393e-05       3.045410630050e+01 
       1.677810478120e-05       3.079503206241e+01 
       1.697238607808e-05       3.113976357683e+01 
       1.716891704636e-05       3.148836623934e+01 
       1.736772373599e-05       3.184086527677e+01 
       1.756883249858e-05       3.219731525717e+01 
       1.777226999090e-05       3.255776548149e+01 
       1.797806317836e-05       3.292222829581e+01 
       1.818623933861e-05       3.329078324046e+01 
       1.839682606519e-05       3.366346183809e+01 
       1.860985127114e-05       3.404031360403e+01 
       1.882534319272e-05       3.442138734228e+01 
       1.904333039315e-05       3.480672278086e+01 
       1.926384176639e-05       3.519636781941e+01 
       1.948690654099e-05       3.559037766311e+01 
       1.971255428395e-05       3.598879624126e+01 
       1.994081490463e-05       3.639167472205e+01 
       2.017171865872e-05       3.679906207945e+01 
       2.040529615227e-05       3.721100969886e+01 
       2.064157834573e-05       3.762756865641e+01 
       2.088059655804e-05       3.804878961037e+01 
       2.112238247080e-05       3.847472396305e+01 
       2.136696813248e-05       3.890542822384e+01 
       2.161438596264e-05       3.934095181025e+01 
       2.186466875625e-05       3.978135119632e+01 
       2.211784968802e-05       4.022667900988e+01 
       2.237396231681e-05       4.067699161926e+01 
       2.263304059007e-05       4.113234406830e+01 
