# Matter power spectrum P(k) at redshift z=0.5
# for k=1.02269e-05 to 30.2913 h/Mpc,
# number of wavenumbers equal to 1163
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.022687392990e-05       3.072662184900e+01 
       1.034529554880e-05       3.107060222706e+01 
       1.046508842541e-05       3.141843317660e+01 
       1.058626843816e-05       3.177015779131e+01 
       1.070885164932e-05       3.212581964935e+01 
       1.083285430717e-05       3.248546281605e+01 
       1.095829284812e-05       3.284913184852e+01 
       1.108518389892e-05       3.321687165550e+01 
       1.121354427884e-05       3.358872800691e+01 
       1.134339100191e-05       3.396473959983e+01 
       1.147474127917e-05       3.434496772465e+01 
       1.160761252096e-05       3.472945200650e+01 
       1.174202233921e-05       3.511824016303e+01 
       1.187798854981e-05       3.551138106426e+01 
       1.201552917492e-05       3.590892282521e+01 
       1.215466244541e-05       3.631091930838e+01 
       1.229540680324e-05       3.671741023988e+01 
       1.243778090392e-05       3.712845125924e+01 
       1.258180361900e-05       3.754408725007e+01 
       1.272749403851e-05       3.796438793638e+01 
       1.287487147357e-05       3.838938087747e+01 
       1.302395545890e-05       3.881914361795e+01 
       1.317476575542e-05       3.925371057112e+01 
       1.332732235287e-05       3.969313617421e+01 
       1.348164547246e-05       4.013748615774e+01 
       1.363775556956e-05       4.058680993862e+01 
       1.379567333638e-05       4.104116317653e+01 
       1.395541970477e-05       4.150060214898e+01 
       1.411701584892e-05       4.196518376900e+01 
       1.428048318823e-05       4.243496533204e+01 
       1.444584339011e-05       4.291000339460e+01 
       1.461311837289e-05       4.339036973624e+01 
       1.478233030869e-05       4.387610345472e+01 
       1.495350162635e-05       4.436726568873e+01 
       1.512665501446e-05       4.486393370883e+01 
       1.530181342430e-05       4.536617172098e+01 
       1.547900007294e-05       4.587402152812e+01 
       1.565823844628e-05       4.638754553573e+01 
       1.583955230216e-05       4.690682662385e+01 
       1.602296567354e-05       4.743191853928e+01 
       1.620850287166e-05       4.796289314240e+01 
       1.639618848929e-05       4.849981057369e+01 
