# Matter power spectrum P(k) at redshift z=1
# for k=1.0772e-05 to 30.1211 h/Mpc,
# number of wavenumbers equal to 1158
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.077198129387e-05       1.491523197042e+01 
       1.089671495855e-05       1.508223007570e+01 
       1.102289297099e-05       1.525109801773e+01 
       1.115053205596e-05       1.542185859551e+01 
       1.127964913188e-05       1.559452958305e+01 
       1.141026131307e-05       1.576913334051e+01 
       1.154238591204e-05       1.594569656433e+01 
       1.167604044176e-05       1.612423384442e+01 
       1.181124261799e-05       1.630477357943e+01 
       1.194801036164e-05       1.648733487193e+01 
       1.208636180112e-05       1.667194004293e+01 
       1.222631527476e-05       1.685861220366e+01 
       1.236788933325e-05       1.704737563400e+01 
       1.251110274208e-05       1.723825259304e+01 
       1.265597448402e-05       1.743126802478e+01 
       1.280252376167e-05       1.762644526123e+01 
       1.295076999998e-05       1.782381000058e+01 
       1.310073284883e-05       1.802338266446e+01 
       1.325243218562e-05       1.822519383047e+01 
       1.340588811795e-05       1.842926198448e+01 
       1.356112098622e-05       1.863561777800e+01 
       1.371815136639e-05       1.884428544700e+01 
       1.387700007267e-05       1.905528792552e+01 
       1.403768816028e-05       1.926865412646e+01 
       1.420023692825e-05       1.948441592662e+01 
       1.436466792224e-05       1.970258852396e+01 
       1.453100293740e-05       1.992321238947e+01 
       1.469926402126e-05       2.014630159786e+01 
       1.486947347665e-05       2.037189087299e+01 
       1.504165386464e-05       2.060000449022e+01 
       1.521582800756e-05       2.083067688594e+01 
       1.539201899200e-05       2.106393931755e+01 
       1.557025017189e-05       2.129980688480e+01 
       1.575054517157e-05       2.153832180753e+01 
       1.593292788895e-05       2.177950574271e+01 
       1.611742249867e-05       2.202339253426e+01 
       1.630405345528e-05       2.227001195652e+01 
       1.649284549651e-05       2.251939422491e+01 
       1.668382364656e-05       2.277157113976e+01 
       1.687701321935e-05       2.302657334614e+01 
       1.707243982197e-05       2.328443241837e+01 
       1.727012935799e-05       2.354517811492e+01 
       1.747010803096e-05       2.380885098917e+01 
       1.767240234782e-05       2.407547609368e+01 
       1.787703912247e-05       2.434508867468e+01 
       1.808404547929e-05       2.461772229280e+01 
       1.829344885675e-05       2.489340901484e+01 
       1.850527701104e-05       2.517218742299e+01 
       1.871955801976e-05       2.545408685012e+01 
       1.893632028561e-05       2.573914946422e+01 
       1.915559254021e-05       2.602740982178e+01 
       1.937740384785e-05       2.631889691287e+01 
       1.960178360938e-05       2.661364934983e+01 
       1.982876156610e-05       2.691170523353e+01 
       2.005836780368e-05       2.721310572394e+01 
       2.029063275620e-05       2.751788258856e+01 
       2.052558721010e-05       2.782607540231e+01 
       2.076326230836e-05       2.813771994671e+01 
