# Matter power spectrum P(k) at redshift z=1
# for k=1.04163e-05 to 30.15 h/Mpc,
# number of wavenumbers equal to 1161
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041625872240e-05       1.760107402234e+01 
       1.053687331384e-05       1.779812371221e+01 
       1.065888455642e-05       1.799738253939e+01 
       1.078230862260e-05       1.819887304605e+01 
       1.090716187211e-05       1.840261711805e+01 
       1.103346085412e-05       1.860864484321e+01 
       1.116122230940e-05       1.881697645209e+01 
       1.129046317262e-05       1.902764319876e+01 
       1.142120057450e-05       1.924066766734e+01 
       1.155345184415e-05       1.945607704223e+01 
       1.168723451132e-05       1.967389713170e+01 
       1.182256630877e-05       1.989415802165e+01 
       1.195946517457e-05       2.011688384944e+01 
       1.209794925454e-05       2.034210390085e+01 
       1.223803690457e-05       2.056984506537e+01 
       1.237974669314e-05       2.080013594312e+01 
       1.252309740372e-05       2.103300399663e+01 
       1.266810803730e-05       2.126848277521e+01 
       1.281479781487e-05       2.150659617798e+01 
       1.296318618002e-05       2.174737581313e+01 
       1.311329280145e-05       2.199084844163e+01 
       1.326513757565e-05       2.223705249448e+01 
       1.341874062945e-05       2.248600916572e+01 
       1.357412232280e-05       2.273775382919e+01 
       1.373130325135e-05       2.299231973942e+01 
       1.389030424928e-05       2.324973299962e+01 
       1.405114639199e-05       2.351003056821e+01 
       1.421385099894e-05       2.377324088606e+01 
       1.437843963644e-05       2.403939962988e+01 
       1.454493412054e-05       2.430853663994e+01 
       1.471335651990e-05       2.458068948688e+01 
       1.488372915873e-05       2.485588815293e+01 
       1.505607461974e-05       2.513416554573e+01 
       1.523041574713e-05       2.541556455201e+01 
       1.540677564964e-05       2.570011137001e+01 
       1.558517770356e-05       2.598784439460e+01 
       1.576564555591e-05       2.627879906728e+01 
       1.594820312751e-05       2.657301155534e+01 
       1.613287461615e-05       2.687051842112e+01 
       1.631968449985e-05       2.717135672009e+01 
       1.650865754005e-05       2.747556254791e+01 
       1.669981878493e-05       2.778317617247e+01 
       1.689319357270e-05       2.809423347279e+01 
       1.708880753497e-05       2.840877364664e+01 
       1.728668660018e-05       2.872683311436e+01 
       1.748685699697e-05       2.904845949712e+01 
       1.768934525772e-05       2.937367964454e+01 
       1.789417822202e-05       2.970255261400e+01 
       1.810138304026e-05       3.003510149958e+01 
       1.831098717721e-05       3.037137288054e+01 
       1.852301841569e-05       3.071141407459e+01 
       1.873750486019e-05       3.105526044239e+01 
       1.895447494066e-05       3.140295718906e+01 
       1.917395741625e-05       3.175454653046e+01 
       1.939598137914e-05       3.211007297402e+01 
       1.962057625834e-05       3.246958185630e+01 
       1.984777182368e-05       3.283311646938e+01 
       2.007759818967e-05       3.320072200181e+01 
       2.031008581956e-05       3.357244459564e+01 
       2.054526552932e-05       3.394832805035e+01 
       2.078316849178e-05       3.432841882270e+01 
       2.102382624070e-05       3.471277186189e+01 
       2.126727067502e-05       3.510142619741e+01 
       2.151353406304e-05       3.549443015739e+01 
       2.176264904669e-05       3.589184037219e+01 
       2.201464864590e-05       3.629369946089e+01 
       2.226956626294e-05       3.670005241931e+01 
       2.252743568687e-05       3.711096641701e+01 
       2.278829109800e-05       3.752647427099e+01 
       2.305216707243e-05       3.794664058029e+01 
       2.331909858664e-05       3.837151066391e+01 
       2.358912102210e-05       3.880113970615e+01 
       2.386227017001e-05       3.923557919980e+01 
       2.413858223598e-05       3.967488095005e+01 
       2.441809384488e-05       4.011910954833e+01 
       2.470084204567e-05       4.056830820411e+01 
       2.498686431632e-05       4.102253726553e+01 
       2.527619856877e-05       4.148185937883e+01 
       2.556888315396e-05       4.194632221828e+01 
       2.586495686692e-05       4.241598479860e+01 
       2.616445895190e-05       4.289091066293e+01 
       2.646742910756e-05       4.337115668198e+01 
       2.677390749229e-05       4.385678090339e+01 
       2.708393472946e-05       4.434784054738e+01 
       2.739755191284e-05       4.484440423029e+01 
       2.771480061204e-05       4.534652997342e+01 
       2.803572287805e-05       4.585428002647e+01 
       2.836036124876e-05       4.636771626520e+01 
       2.868875875464e-05       4.688690357880e+01 
       2.902095892441e-05       4.741190645544e+01 
       2.935700579085e-05       4.794278785779e+01 
       2.969694389662e-05       4.847961835172e+01 
       3.004081830013e-05       4.902246198868e+01 
       3.038867458156e-05       4.957138662301e+01 
       3.074055884890e-05       5.012646045744e+01 
       3.109651774401e-05       5.068775218134e+01 
       3.145659844887e-05       5.125533167864e+01 
       3.182084869178e-05       5.182926933857e+01 
       3.218931675372e-05       5.240963690972e+01 
       3.256205147473e-05       5.299650595326e+01 
       3.293910226039e-05       5.358994976221e+01 
       3.332051908837e-05       5.419004213250e+01 
       3.370635251507e-05       5.479685760497e+01 
       3.409665368229e-05       5.541047225520e+01 
       3.449147432402e-05       5.603096104203e+01 
       3.489086677331e-05       5.665840150495e+01 
       3.529488396920e-05       5.729287209782e+01 
       3.570357946373e-05       5.793445117302e+01 
       3.611700742904e-05       5.858321554322e+01 
       3.653522266457e-05       5.923925396225e+01 
       3.695828060429e-05       5.990264312619e+01 
       3.738623732408e-05       6.057346461484e+01 
       3.781914954912e-05       6.125180216672e+01 
       3.825707466147e-05       6.193774299016e+01 
       3.870007070763e-05       6.263136760726e+01 
       3.914819640625e-05       6.333276525916e+01 
       3.960151115589e-05       6.404202703883e+01 
       4.006007504294e-05       6.475923455577e+01 
       4.052394884955e-05       6.548447903310e+01 
       4.099319406168e-05       6.621785130809e+01 
       4.146787287729e-05       6.695944410207e+01 
       4.194804821453e-05       6.770935031737e+01 
       4.243378372012e-05       6.846765721599e+01 
       4.292514377778e-05       6.923446625880e+01 
       4.342219351675e-05       7.000986783195e+01 
       4.392499882045e-05       7.079396118603e+01 
       4.443362633515e-05       7.158684544756e+01 
       4.494814347890e-05       7.238861708582e+01 
       4.546861845038e-05       7.319937586982e+01 
       4.599512023799e-05       7.401922400164e+01 
       4.652771862896e-05       7.484826368906e+01 
       4.706648421865e-05       7.568659212175e+01 
       4.761148841983e-05       7.653432640524e+01 
