# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04192e-05 to 30.1585 h/Mpc,
# number of wavenumbers equal to 1161
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041920367475e-05       2.792312129225e+01 
       1.053985236712e-05       2.823572372738e+01 
       1.066189810551e-05       2.855182745360e+01 
       1.078535706695e-05       2.887146612385e+01 
       1.091024561578e-05       2.919468864679e+01 
       1.103658030586e-05       2.952152552870e+01 
       1.116437788269e-05       2.985202327460e+01 
       1.129365528573e-05       3.018622047273e+01 
       1.142442965053e-05       3.052415932658e+01 
       1.155671831112e-05       3.086587966372e+01 
       1.169053880220e-05       3.121142961434e+01 
       1.182590886153e-05       3.156084403159e+01 
       1.196284643227e-05       3.191416728577e+01 
       1.210136966535e-05       3.227144362040e+01 
       1.224149692188e-05       3.263272569207e+01 
       1.238324677556e-05       3.299806214923e+01 
       1.252663801518e-05       3.336748052758e+01 
       1.267168964711e-05       3.374103003677e+01 
       1.281842089777e-05       3.411876677308e+01 
       1.296685121624e-05       3.450072610013e+01 
       1.311700027680e-05       3.488696784380e+01 
       1.326888798153e-05       3.527753086788e+01 
       1.342253446299e-05       3.567246383481e+01 
       1.357796008686e-05       3.607182536178e+01 
       1.373518545463e-05       3.647565094098e+01 
       1.389423140635e-05       3.688399633670e+01 
       1.405511902340e-05       3.729691583881e+01 
       1.421786963124e-05       3.771446300457e+01 
       1.438250480231e-05       3.813667532449e+01 
       1.454904635881e-05       3.856361719892e+01 
       1.471751637565e-05       3.899534239643e+01 
       1.488793718334e-05       3.943189523399e+01 
       1.506033137098e-05       3.987333980822e+01 
       1.523472178923e-05       4.031972373684e+01 
       1.541113155335e-05       4.077110398130e+01 
       1.558958404627e-05       4.122754138133e+01 
       1.577010292166e-05       4.168907692100e+01 
       1.595271210712e-05       4.215579786209e+01 
       1.613743580728e-05       4.262773120425e+01 
       1.632429850708e-05       4.310495227267e+01 
       1.651332497497e-05       4.358750684389e+01 
       1.670454026620e-05       4.407546429229e+01 
       1.689796972614e-05       4.456890340263e+01 
       1.709363899367e-05       4.506785358742e+01 
       1.729157400453e-05       4.557238003031e+01 
       1.749180099480e-05       4.608256870834e+01 
       1.769434650434e-05       4.659845947366e+01 
       1.789923738035e-05       4.712012344295e+01 
       1.810650078088e-05       4.764763349300e+01 
       1.831616417848e-05       4.818105736554e+01 
       1.852825536380e-05       4.872043752779e+01 
       1.874280244930e-05       4.926586033093e+01 
       1.895983387297e-05       4.981739244095e+01 
       1.917937840208e-05       5.037509335152e+01 
       1.940146513702e-05       5.093904455193e+01 
       1.962612351514e-05       5.150931069841e+01 
       1.985338331469e-05       5.208595343593e+01 
       2.008327465868e-05       5.266904872289e+01 
       2.031582801898e-05       5.325868204551e+01 
       2.055107422028e-05       5.385490391626e+01 
       2.078904444421e-05       5.445782000009e+01 
       2.102977023346e-05       5.506746237400e+01 
       2.127328349597e-05       5.568394650165e+01 
       2.151961650917e-05       5.630731700389e+01 
       2.176880192423e-05       5.693767342316e+01 
       2.202087277040e-05       5.757508379806e+01 
       2.227586245941e-05       5.821963177782e+01 
       2.253380478986e-05       5.887139626640e+01 
       2.279473395172e-05       5.953045607608e+01 
       2.305868453088e-05       6.019689421692e+01 
       2.332569151370e-05       6.087078490595e+01 
       2.359579029167e-05       6.155222405014e+01 
       2.386901666608e-05       6.224129659244e+01 
       2.414540685279e-05       6.293808406600e+01 
       2.442499748703e-05       6.364265773686e+01 
       2.470782562823e-05       6.435513036712e+01 
       2.499392876495e-05       6.507557812796e+01 
       2.528334481986e-05       6.580408033049e+01 
       2.557611215474e-05       6.654075950722e+01 
       2.587226957558e-05       6.728565774754e+01 
       2.617185633773e-05       6.803891979079e+01 
       2.647491215109e-05       6.880059272524e+01 
       2.678147718538e-05       6.957080214363e+01 
       2.709159207546e-05       7.034963801411e+01 
       2.740529792672e-05       7.113717863930e+01 
       2.772263632055e-05       7.193353840409e+01 
       2.804364931978e-05       7.273881478081e+01 
       2.836837947436e-05       7.355310624737e+01 
       2.869686982691e-05       7.437650680538e+01 
       2.902916391848e-05       7.520913619040e+01 
       2.936530579427e-05       7.605107693876e+01 
       2.970534000955e-05       7.690244406092e+01 
       3.004931163546e-05       7.776334099808e+01 
       3.039726626509e-05       7.863387462148e+01 
       3.074925001943e-05       7.951415256296e+01 
       3.110530955355e-05       8.040428386113e+01 
       3.146549206277e-05       8.130437877179e+01 
       3.182984528888e-05       8.221454584533e+01 
       3.219841752650e-05       8.313489941458e+01 
       3.257125762949e-05       8.406555804308e+01 
       3.294841501739e-05       8.500663792357e+01 
       3.332993968203e-05       8.595824532508e+01 
