# Matter power spectrum P(k) at redshift z=1
# for k=1.03253e-05 to 30.0061 h/Mpc,
# number of wavenumbers equal to 2795
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032525417908e-05       1.833913654386e+01 
       1.037291338694e-05       1.842098727571e+01 
       1.042079257971e-05       1.850320266911e+01 
       1.046889277279e-05       1.858579021586e+01 
       1.051721498628e-05       1.866873983742e+01 
       1.056576024497e-05       1.875205706826e+01 
       1.061452957839e-05       1.883575147039e+01 
       1.066352402083e-05       1.891981755007e+01 
       1.071274461134e-05       1.900425748974e+01 
       1.076219239377e-05       1.908908095286e+01 
       1.081186841679e-05       1.917427801710e+01 
       1.086177373392e-05       1.925985533398e+01 
       1.091190940353e-05       1.934581465723e+01 
       1.096227648887e-05       1.943215398854e+01 
       1.101287605812e-05       1.951888415478e+01 
       1.106370918437e-05       1.960600172236e+01 
       1.111477694566e-05       1.969350339994e+01 
       1.116608042503e-05       1.978139953197e+01 
       1.121762071051e-05       1.986969042350e+01 
       1.126939889513e-05       1.995837040629e+01 
       1.132141607699e-05       2.004744180291e+01 
       1.137367335926e-05       2.013691614021e+01 
       1.142617185018e-05       2.022679052092e+01 
       1.147891266313e-05       2.031706536489e+01 
       1.153189691660e-05       2.040774482500e+01 
       1.158512573428e-05       2.049882513486e+01 
       1.163860024502e-05       2.059031498002e+01 
       1.169232158289e-05       2.068221425488e+01 
       1.174629088718e-05       2.077452039024e+01 
       1.180050930246e-05       2.086724516836e+01 
       1.185497797858e-05       2.096037869122e+01 
       1.190969807069e-05       2.105392160383e+01 
       1.196467073926e-05       2.114788913008e+01 
       1.201989715014e-05       2.124227558715e+01 
       1.207537847456e-05       2.133708155610e+01 
       1.213111588913e-05       2.143231272816e+01 
       1.218711057591e-05       2.152797764308e+01 
       1.224336372243e-05       2.162405717782e+01 
       1.229987652168e-05       2.172056127557e+01 
       1.235665017215e-05       2.181750362972e+01 
       1.241368587789e-05       2.191488509913e+01 
       1.247098484848e-05       2.201268837884e+01 
       1.252854829911e-05       2.211093370984e+01 
       1.258637745055e-05       2.220961700826e+01 
       1.264447352923e-05       2.230874640735e+01 
       1.270283776722e-05       2.240830828485e+01 
       1.276147140229e-05       2.250831940763e+01 
       1.282037567793e-05       2.260878261919e+01 
       1.287955184335e-05       2.270968446359e+01 
       1.293900115354e-05       2.281104096504e+01 
       1.299872486927e-05       2.291284971901e+01 
       1.305872425716e-05       2.301511542036e+01 
       1.311900058963e-05       2.311783542377e+01 
       1.317955514502e-05       2.322101039124e+01 
       1.324038920753e-05       2.332464905012e+01 
       1.330150406731e-05       2.342875727814e+01 
       1.336290102048e-05       2.353331617559e+01 
       1.342458136910e-05       2.363835237329e+01 
       1.348654642127e-05       2.374385189211e+01 
       1.354879749113e-05       2.384982410793e+01 
       1.361133589888e-05       2.395626929808e+01 
       1.367416297079e-05       2.406318938697e+01 
       1.373728003930e-05       2.417058897290e+01 
       1.380068844296e-05       2.427846626093e+01 
       1.386438952651e-05       2.438682423865e+01 
       1.392838464090e-05       2.449566660560e+01 
       1.399267514332e-05       2.460499003450e+01 
       1.405726239721e-05       2.471480522141e+01 
       1.412214777233e-05       2.482511545149e+01 
       1.418733264472e-05       2.493591313394e+01 
       1.425281839682e-05       2.504720180058e+01 
       1.431860641742e-05       2.515899131288e+01 
       1.438469810172e-05       2.527128266573e+01 
       1.445109485138e-05       2.538407386451e+01 
       1.451779807450e-05       2.549736593332e+01 
       1.458480918572e-05       2.561116499546e+01 
       1.465212960617e-05       2.572546655157e+01 
       1.471976076356e-05       2.584028813314e+01 
       1.478770409220e-05       2.595561160153e+01 
       1.485596103299e-05       2.607145489950e+01 
       1.492453303350e-05       2.618782148444e+01 
       1.499342154798e-05       2.630470156812e+01 
       1.506262803740e-05       2.642209789708e+01 
       1.513215396947e-05       2.654002354743e+01 
       1.520200081865e-05       2.665847561251e+01 
       1.527217006624e-05       2.677745613032e+01 
       1.534266320036e-05       2.689696707238e+01 
       1.541348171601e-05       2.701701329770e+01 
       1.548462711507e-05       2.713759999824e+01 
       1.555610090637e-05       2.725871923866e+01 
       1.562790460570e-05       2.738037227421e+01 
       1.570003973586e-05       2.750257528385e+01 
       1.577250782664e-05       2.762532370596e+01 
       1.584531041493e-05       2.774862625646e+01 
       1.591844904470e-05       2.787246540342e+01 
       1.599192526705e-05       2.799686960323e+01 
       1.606574064023e-05       2.812182072129e+01 
       1.613989672969e-05       2.824733098295e+01 
       1.621439510811e-05       2.837340821505e+01 
       1.628923735542e-05       2.850004098796e+01 
       1.636442505885e-05       2.862723645161e+01 
       1.643995981295e-05       2.875500471044e+01 
       1.651584321963e-05       2.888335102512e+01 
       1.659207688820e-05       2.901225552987e+01 
       1.666866243540e-05       2.914174291017e+01 
       1.674560148542e-05       2.927180370549e+01 
       1.682289566997e-05       2.940244837170e+01 
       1.690054662825e-05       2.953367612956e+01 
       1.697855600708e-05       2.966548958362e+01 
       1.705692546084e-05       2.979789248174e+01 
       1.713565665156e-05       2.993088395962e+01 
       1.721475124895e-05       3.006447539099e+01 
       1.729421093041e-05       3.019865134858e+01 
       1.737403738109e-05       3.033343872370e+01 
       1.745423229393e-05       3.046881481781e+01 
       1.753479736967e-05       3.060480325835e+01 
       1.761573431690e-05       3.074139772789e+01 
       1.769704485211e-05       3.087860518407e+01 
       1.777873069970e-05       3.101642166004e+01 
       1.786079359202e-05       3.115485226132e+01 
       1.794323526945e-05       3.129389940769e+01 
       1.802605748037e-05       3.143357098788e+01 
       1.810926198124e-05       3.157386362444e+01 
       1.819285053665e-05       3.171478384658e+01 
       1.827682491929e-05       3.185633155005e+01 
       1.836118691007e-05       3.199851111454e+01 
       1.844593829811e-05       3.214132185680e+01 
       1.853108088078e-05       3.228477689591e+01 
       1.861661646376e-05       3.242886553393e+01 
       1.870254686105e-05       3.257360130772e+01 
       1.878887389503e-05       3.271898295592e+01 
       1.887559939650e-05       3.286501474005e+01 
       1.896272520469e-05       3.301169356319e+01 
       1.905025316734e-05       3.315903265671e+01 
       1.913818514071e-05       3.330702700256e+01 
       1.922652298963e-05       3.345567859081e+01 
       1.931526858754e-05       3.360499792266e+01 
       1.940442381651e-05       3.375498275452e+01 
       1.949399056732e-05       3.390563494434e+01 
       1.958397073947e-05       3.405696275358e+01 
       1.967436624122e-05       3.420896434382e+01 
       1.976517898965e-05       3.436164464254e+01 
       1.985641091068e-05       3.451500608658e+01 
       1.994806393912e-05       3.466905160207e+01 
       2.004014001873e-05       3.482378553101e+01 
       2.013264110220e-05       3.497920981759e+01 
       2.022556915128e-05       3.513532758060e+01 
       2.031892613674e-05       3.529214208981e+01 
       2.041271403847e-05       3.544965643002e+01 
       2.050693484549e-05       3.560787388939e+01 
       2.060159055599e-05       3.576679819357e+01 
       2.069668317739e-05       3.592643018120e+01 
       2.079221472640e-05       3.608677634037e+01 
       2.088818722900e-05       3.624783703060e+01 
       2.098460272055e-05       3.640961722518e+01 
       2.108146324578e-05       3.657211862138e+01 
       2.117877085888e-05       3.673534646747e+01 
       2.127652762352e-05       3.689930226290e+01 
       2.137473561288e-05       3.706398977079e+01 
       2.147339690973e-05       3.722941242311e+01 
       2.157251360643e-05       3.739557355648e+01 
       2.167208780501e-05       3.756247569905e+01 
       2.177212161722e-05       3.773012315145e+01 
       2.187261716452e-05       3.789851901353e+01 
       2.197357657819e-05       3.806766639915e+01 
       2.207500199934e-05       3.823756877824e+01 
       2.217689557897e-05       3.840822917607e+01 
       2.227925947798e-05       3.857965149070e+01 
       2.238209586729e-05       3.875183898869e+01 
       2.248540692781e-05       3.892479487745e+01 
       2.258919485051e-05       3.909852285847e+01 
       2.269346183650e-05       3.927302524427e+01 
       2.279821009702e-05       3.944830738464e+01 
       2.290344185356e-05       3.962437177816e+01 
       2.300915933781e-05       3.980122224334e+01 
       2.311536479179e-05       3.997886205881e+01 
       2.322206046788e-05       4.015729422553e+01 
       2.332924862883e-05       4.033652262881e+01 
       2.343693154785e-05       4.051655215586e+01 
       2.354511150865e-05       4.069738421731e+01 
       2.365379080545e-05       4.087902356923e+01 
       2.376297174310e-05       4.106147332280e+01 
       2.387265663706e-05       4.124473798601e+01 
       2.398284781348e-05       4.142882028838e+01 
