# Matter power spectrum P(k) at redshift z=0
# for k=1.02904e-05 to 30.0428 h/Mpc,
# number of wavenumbers equal to 2796
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029037444818e-05       4.978532408281e+01 
       1.033787265851e-05       5.000752310338e+01 
       1.038559011063e-05       5.023069499493e+01 
       1.043352781650e-05       5.045489080974e+01 
       1.048168679276e-05       5.068007663071e+01 
       1.053006806076e-05       5.090626663396e+01 
       1.057867264655e-05       5.113345962912e+01 
       1.062750158091e-05       5.136166937816e+01 
       1.067655589939e-05       5.159090453876e+01 
       1.072583664232e-05       5.182115746665e+01 
       1.077534485482e-05       5.205244893330e+01 
       1.082508158685e-05       5.228477091653e+01 
       1.087504789320e-05       5.251810967823e+01 
       1.092524483354e-05       5.275250332596e+01 
       1.097567347243e-05       5.298794126840e+01 
       1.102633487934e-05       5.322444965961e+01 
       1.107723012869e-05       5.346198858131e+01 
       1.112836029983e-05       5.370059636526e+01 
       1.117972647711e-05       5.394026781729e+01 
       1.123132974990e-05       5.418100330452e+01 
       1.128317121257e-05       5.442281689713e+01 
       1.133525196457e-05       5.466571477771e+01 
       1.138757311039e-05       5.490969393330e+01 
       1.144013575964e-05       5.515476034105e+01 
       1.149294102707e-05       5.540092051356e+01 
       1.154599003253e-05       5.564818638962e+01 
       1.159928390108e-05       5.589653741717e+01 
       1.165282376294e-05       5.614601732990e+01 
       1.170661075359e-05       5.639660766044e+01 
       1.176064601369e-05       5.664830411487e+01 
       1.181493068923e-05       5.690113613531e+01 
       1.186946593145e-05       5.715508677329e+01 
       1.192425289690e-05       5.741018616863e+01 
       1.197929274750e-05       5.766640655047e+01 
       1.203458665051e-05       5.792377693636e+01 
       1.209013577857e-05       5.818229575853e+01 
       1.214594130977e-05       5.844196885684e+01 
       1.220200442758e-05       5.870279868927e+01 
       1.225832632100e-05       5.896479406642e+01 
       1.231490818446e-05       5.922796030281e+01 
       1.237175121794e-05       5.949229966332e+01 
       1.242885662694e-05       5.975781502906e+01 
       1.248622562253e-05       6.002452044071e+01 
       1.254385942137e-05       6.029241798984e+01 
       1.260175924574e-05       6.056150915689e+01 
       1.265992632356e-05       6.083178715687e+01 
       1.271836188841e-05       6.110329412503e+01 
       1.277706717957e-05       6.137600574639e+01 
       1.283604344204e-05       6.164993191978e+01 
       1.289529192657e-05       6.192508175968e+01 
       1.295481388969e-05       6.220143360166e+01 
       1.301461059370e-05       6.247906919648e+01 
       1.307468330675e-05       6.275790709234e+01 
       1.313503330285e-05       6.303801492669e+01 
       1.319566186188e-05       6.331935788637e+01 
       1.325657026962e-05       6.360195990891e+01 
       1.331775981779e-05       6.388581630824e+01 
       1.337923180409e-05       6.417094416111e+01 
       1.344098753218e-05       6.445734464171e+01 
