# Matter power spectrum P(k) at redshift z=0.5
# for k=1.02904e-05 to 30.0428 h/Mpc,
# number of wavenumbers equal to 2796
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029037444818e-05       2.974626561733e+01 
       1.033787265851e-05       2.987902659492e+01 
       1.038559011063e-05       3.001236712566e+01 
       1.043352781650e-05       3.014632561833e+01 
       1.048168679276e-05       3.028087138686e+01 
       1.053006806076e-05       3.041601837704e+01 
       1.057867264655e-05       3.055176094199e+01 
       1.062750158091e-05       3.068811374934e+01 
       1.067655589939e-05       3.082507875689e+01 
       1.072583664232e-05       3.096265053476e+01 
       1.077534485482e-05       3.110085367503e+01 
       1.082508158685e-05       3.123966990623e+01 
       1.087504789320e-05       3.137907504911e+01 
       1.092524483354e-05       3.151912333315e+01 
       1.097567347243e-05       3.165979620378e+01 
       1.102633487934e-05       3.180111322345e+01 
       1.107723012869e-05       3.194303862398e+01 
       1.112836029983e-05       3.208560694764e+01 
       1.117972647711e-05       3.222881432227e+01 
       1.123132974990e-05       3.237264044602e+01 
       1.128317121257e-05       3.251712224929e+01 
       1.133525196457e-05       3.266225774502e+01 
       1.138757311039e-05       3.280803280761e+01 
       1.144013575964e-05       3.295445883021e+01 
       1.149294102707e-05       3.310153828216e+01 
       1.154599003253e-05       3.324927477825e+01 
       1.159928390108e-05       3.339766368105e+01 
       1.165282376294e-05       3.354672329143e+01 
       1.170661075359e-05       3.369644896991e+01 
       1.176064601369e-05       3.384683836467e+01 
       1.181493068923e-05       3.399790681842e+01 
       1.186946593145e-05       3.414963532951e+01 
       1.192425289690e-05       3.430205071028e+01 
       1.197929274750e-05       3.445514069864e+01 
       1.203458665051e-05       3.460891728817e+01 
       1.209013577857e-05       3.476338008799e+01 
       1.214594130977e-05       3.491853249073e+01 
       1.220200442758e-05       3.507437706660e+01 
       1.225832632100e-05       3.523091899136e+01 
       1.231490818446e-05       3.538815638327e+01 
       1.237175121794e-05       3.554609503320e+01 
       1.242885662694e-05       3.570473687480e+01 
       1.248622562253e-05       3.586409407767e+01 
       1.254385942137e-05       3.602415839493e+01 
       1.260175924574e-05       3.618493723145e+01 
       1.265992632356e-05       3.634642294000e+01 
       1.271836188841e-05       3.650865235630e+01 
       1.277706717957e-05       3.667159450228e+01 
       1.283604344204e-05       3.683526330787e+01 
       1.289529192657e-05       3.699966631997e+01 
       1.295481388969e-05       3.716477665281e+01 
       1.301461059370e-05       3.733066542443e+01 
       1.307468330675e-05       3.749726478027e+01 
       1.313503330285e-05       3.766462843067e+01 
       1.319566186188e-05       3.783272981809e+01 
       1.325657026962e-05       3.800158476617e+01 
       1.331775981779e-05       3.817118227707e+01 
       1.337923180409e-05       3.834154359147e+01 
       1.344098753218e-05       3.851266542588e+01 
       1.350302831177e-05       3.868453312196e+01 
       1.356535545858e-05       3.885720239069e+01 
       1.362797029443e-05       3.903062542583e+01 
       1.369087414722e-05       3.920480599170e+01 
       1.375406835102e-05       3.937979963281e+01 
       1.381755424600e-05       3.955553294973e+01 
       1.388133317856e-05       3.973210089366e+01 
       1.394540650130e-05       3.990942869384e+01 
       1.400977557305e-05       4.008753974270e+01 
       1.407444175895e-05       4.026645590404e+01 
       1.413940643039e-05       4.044617441506e+01 
       1.420467096513e-05       4.062668141120e+01 
       1.427023674728e-05       4.080800152350e+01 
       1.433610516733e-05       4.099013023708e+01 
       1.440227762219e-05       4.117307644818e+01 
       1.446875551523e-05       4.135683704942e+01 
       1.453554025628e-05       4.154139246637e+01 
       1.460263326168e-05       4.172679598739e+01 
       1.467003595433e-05       4.191304070276e+01 
       1.473774976367e-05       4.210010719443e+01 
       1.480577612576e-05       4.228799924314e+01 
       1.487411648326e-05       4.247674588461e+01 
       1.494277228552e-05       4.266629677711e+01 
       1.501174498857e-05       4.285671989345e+01 
       1.508103605515e-05       4.304800204068e+01 
       1.515064695476e-05       4.324012859445e+01 
       1.522057916369e-05       4.343312891960e+01 
       1.529083416502e-05       4.362696249013e+01 
       1.536141344871e-05       4.382167380588e+01 
       1.543231851157e-05       4.401726438391e+01 
       1.550355085733e-05       4.421371608305e+01 
       1.557511199666e-05       4.441104519371e+01 
       1.564700344720e-05       4.460924308948e+01 
       1.571922673359e-05       4.480833880383e+01 
       1.579178338753e-05       4.500831765659e+01 
       1.586467494777e-05       4.520920785719e+01 
       1.593790296017e-05       4.541097879881e+01 
       1.601146897771e-05       4.561365115415e+01 
       1.608537456056e-05       4.581722490124e+01 
       1.615962127608e-05       4.602170523982e+01 
       1.623421069887e-05       4.622710478763e+01 
       1.630914441079e-05       4.643341595462e+01 
       1.638442400101e-05       4.664064950609e+01 
       1.646005106603e-05       4.684880851043e+01 
       1.653602720972e-05       4.705791250002e+01 
       1.661235404336e-05       4.726793276379e+01 
       1.668903318566e-05       4.747888766934e+01 
       1.676606626279e-05       4.769078395511e+01 
       1.684345490845e-05       4.790363131142e+01 
       1.692120076387e-05       4.811742858677e+01 
       1.699930547786e-05       4.833218000912e+01 
       1.707777070682e-05       4.854789327316e+01 
       1.715659811483e-05       4.876456611380e+01 
       1.723578937362e-05       4.898220512149e+01 
       1.731534616265e-05       4.920081463872e+01 
       1.739527016913e-05       4.942040165509e+01 
       1.747556308807e-05       4.964096817823e+01 
       1.755622662228e-05       4.986252613764e+01 
       1.763726248245e-05       5.008505947095e+01 
       1.771867238715e-05       5.030859716429e+01 
       1.780045806290e-05       5.053312806143e+01 
       1.788262124418e-05       5.075865505799e+01 
       1.796516367347e-05       5.098519796000e+01 
       1.804808710131e-05       5.121274573471e+01 
       1.813139328629e-05       5.144131146182e+01 
       1.821508399516e-05       5.167089872308e+01 
       1.829916100278e-05       5.190150826922e+01 
       1.838362609224e-05       5.213314710482e+01 
       1.846848105484e-05       5.236581730930e+01 
       1.855372769015e-05       5.259952840511e+01 
       1.863936780605e-05       5.283427702545e+01 
       1.872540321876e-05       5.307007818384e+01 
       1.881183575290e-05       5.330693867946e+01 
       1.889866724149e-05       5.354485177917e+01 
       1.898589952601e-05       5.378381712482e+01 
       1.907353445647e-05       5.402386529996e+01 
       1.916157389139e-05       5.426496932494e+01 
       1.925001969788e-05       5.450715600218e+01 
       1.933887375166e-05       5.475043088797e+01 
       1.942813793712e-05       5.499477575237e+01 
       1.951781414734e-05       5.524023074573e+01 
       1.960790428413e-05       5.548675930153e+01 
       1.969841025811e-05       5.573441121774e+01 
       1.978933398868e-05       5.598314252287e+01 
       1.988067740412e-05       5.623300432096e+01 
       1.997244244161e-05       5.648397281133e+01 
       2.006463104726e-05       5.673606441405e+01 
       2.015724517619e-05       5.698927770879e+01 
       2.025028679251e-05       5.724362684358e+01 
       2.034375786943e-05       5.749910559283e+01 
       2.043766038923e-05       5.775572577456e+01 
       2.053199634336e-05       5.801348881109e+01 
       2.062676773248e-05       5.827240578156e+01 
       2.072197656646e-05       5.853247753859e+01 
       2.081762486444e-05       5.879370947473e+01 
       2.091371465491e-05       5.905610844004e+01 
       2.101024797570e-05       5.931967900790e+01 
       2.110722687405e-05       5.958442418124e+01 
       2.120465340666e-05       5.985034779404e+01 
       2.130252963971e-05       6.011745931399e+01 
       2.140085764893e-05       6.038576658423e+01 
       2.149963951961e-05       6.065526937021e+01 
       2.159887734670e-05       6.092597479298e+01 
       2.169857323478e-05       6.119789043249e+01 
       2.179872929817e-05       6.147101741855e+01 
       2.189934766095e-05       6.174536145376e+01 
       2.200043045698e-05       6.202093407509e+01 
       2.210197983001e-05       6.229773293086e+01 
       2.220399793364e-05       6.257576664436e+01 
       2.230648693144e-05       6.285504528136e+01 
       2.240944899697e-05       6.313556807043e+01 
       2.251288631379e-05       6.341734262760e+01 
       2.261680107558e-05       6.370037500591e+01 
       2.272119548611e-05       6.398467373100e+01 
       2.282607175935e-05       6.427023511333e+01 
       2.293143211947e-05       6.455707217829e+01 
       2.303727880091e-05       6.484519283411e+01 
       2.314361404844e-05       6.513459820592e+01 
       2.325044011718e-05       6.542528893164e+01 
       2.335775927264e-05       6.571728470146e+01 
       2.346557379081e-05       6.601057819952e+01 
       2.357388595819e-05       6.630518597912e+01 
       2.368269807182e-05       6.660110294934e+01 
       2.379201243935e-05       6.689834710040e+01 
       2.390183137907e-05       6.719691359365e+01 
       2.401215721999e-05       6.749681011189e+01 
       2.412299230185e-05       6.779804731406e+01 
       2.423433897520e-05       6.810063281424e+01 
       2.434619960144e-05       6.840456184208e+01 
       2.445857655288e-05       6.870984518622e+01 
       2.457147221276e-05       6.901650208118e+01 
       2.468488897532e-05       6.932452799549e+01 
       2.479882924588e-05       6.963391892560e+01 
       2.491329544083e-05       6.994469835902e+01 
       2.502828998772e-05       7.025684982202e+01 
       2.514381532533e-05       7.057040920641e+01 
       2.525987390367e-05       7.088536545552e+01 
       2.537646818407e-05       7.120172501585e+01 
       2.549360063922e-05       7.151949615759e+01 
       2.561127375321e-05       7.183868431227e+01 
       2.572949002162e-05       7.215930322319e+01 
       2.584825195153e-05       7.248134813834e+01 
       2.596756206160e-05       7.280483018828e+01 
       2.608742288211e-05       7.312975447726e+01 
       2.620783695504e-05       7.345611980587e+01 
       2.632880683408e-05       7.378396312475e+01 
       2.645033508470e-05       7.411325608625e+01 
       2.657242428425e-05       7.444402299017e+01 
       2.669507702193e-05       7.477625222237e+01 
       2.681829589893e-05       7.510997944283e+01 
       2.694208352843e-05       7.544519642762e+01 
       2.706644253566e-05       7.578190687093e+01 
       2.719137555798e-05       7.612011788314e+01 
       2.731688524494e-05       7.645983708147e+01 
       2.744297425829e-05       7.680107464637e+01 
       2.756964527208e-05       7.714383407612e+01 
       2.769690097271e-05       7.748812155726e+01 
       2.782474405896e-05       7.783394843462e+01 
       2.795317724208e-05       7.818131706105e+01 
       2.808220324585e-05       7.853023514580e+01 
       2.821182480659e-05       7.888071108555e+01 
       2.834204467326e-05       7.923275095001e+01 
       2.847286560754e-05       7.958636180710e+01 
       2.860429038381e-05       7.994155115955e+01 
       2.873632178928e-05       8.029832456531e+01 
       2.886896262403e-05       8.065669057322e+01 
       2.900221570106e-05       8.101665580963e+01 
       2.913608384634e-05       8.137822736899e+01 
       2.927056989891e-05       8.174141248908e+01 
       2.940567671089e-05       8.210621894134e+01 
       2.954140714759e-05       8.247265205292e+01 
       2.967776408751e-05       8.284072094804e+01 
       2.981475042247e-05       8.321043241357e+01 
       2.995236905762e-05       8.358179371035e+01 
       3.009062291153e-05       8.395481219655e+01 
       3.022951491624e-05       8.432949536642e+01 
       3.036904801731e-05       8.470585045017e+01 
       3.050922517391e-05       8.508388500278e+01 
