# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04163e-05 to 30.15 h/Mpc,
# number of wavenumbers equal to 1161
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041625872240e-05       2.797005564121e+01 
       1.053687331384e-05       2.828318684912e+01 
       1.065888455642e-05       2.859982083023e+01 
       1.078230862260e-05       2.892000181416e+01 
       1.090716187211e-05       2.924376261774e+01 
       1.103346085412e-05       2.957115290906e+01 
       1.116122230940e-05       2.990220460829e+01 
       1.129046317262e-05       3.023695858161e+01 
       1.142120057450e-05       3.057546867122e+01 
       1.155345184415e-05       3.091776723958e+01 
       1.168723451132e-05       3.126389382404e+01 
       1.182256630877e-05       3.161389483953e+01 
       1.195946517457e-05       3.196781693813e+01 
       1.209794925454e-05       3.232569418034e+01 
       1.223803690457e-05       3.268758307215e+01 
       1.237974669314e-05       3.305353200018e+01 
       1.252309740372e-05       3.342356768919e+01 
       1.266810803730e-05       3.379775237844e+01 
       1.281479781487e-05       3.417612240974e+01 
       1.296318618002e-05       3.455873267085e+01 
       1.311329280145e-05       3.494560833286e+01 
       1.326513757565e-05       3.533683628400e+01 
       1.341874062945e-05       3.573243333282e+01 
       1.357412232280e-05       3.613245896843e+01 
       1.373130325135e-05       3.653696921224e+01 
       1.389030424928e-05       3.694600088493e+01 
       1.405114639199e-05       3.735961810097e+01 
       1.421385099894e-05       3.777786140248e+01 
       1.437843963644e-05       3.820079241555e+01 
       1.454493412054e-05       3.862844494729e+01 
       1.471335651990e-05       3.906089733585e+01 
       1.488372915873e-05       3.949818719879e+01 
       1.505607461974e-05       3.994036628137e+01 
       1.523041574713e-05       4.038750498773e+01 
       1.540677564964e-05       4.083964537999e+01 
       1.558517770356e-05       4.129685125260e+01 
       1.576564555591e-05       4.175917050297e+01 
       1.594820312751e-05       4.222666418181e+01 
       1.613287461615e-05       4.269939546541e+01 
       1.631968449985e-05       4.317741516536e+01 
       1.650865754005e-05       4.366078810883e+01 
       1.669981878493e-05       4.414956192248e+01 
       1.689319357270e-05       4.464382692512e+01 
       1.708880753497e-05       4.514361619439e+01 
       1.728668660018e-05       4.564899159379e+01 
       1.748685699697e-05       4.616003806391e+01 
       1.768934525772e-05       4.667679504825e+01 
       1.789417822202e-05       4.719934128894e+01 
       1.810138304026e-05       4.772773481395e+01 
       1.831098717721e-05       4.826205262439e+01 
       1.852301841569e-05       4.880234202187e+01 
       1.873750486019e-05       4.934868810137e+01 
       1.895447494066e-05       4.990114963099e+01 
       1.917395741625e-05       5.045977767843e+01 
       1.939598137914e-05       5.102467420654e+01 
       1.962057625834e-05       5.159589418549e+01 
       1.984777182368e-05       5.217351066550e+01 
       2.007759818967e-05       5.275758622358e+01 
       2.031008581956e-05       5.334821640872e+01 
       2.054526552932e-05       5.394544106694e+01 
       2.078316849178e-05       5.454936255685e+01 
       2.102382624070e-05       5.516003163831e+01 
       2.126727067502e-05       5.577754985630e+01 
       2.151353406304e-05       5.640198150913e+01 
       2.176264904669e-05       5.703339214679e+01 
       2.201464864590e-05       5.767187737378e+01 
       2.226956626294e-05       5.831750833188e+01 
       2.252743568687e-05       5.897037011676e+01 
       2.278829109800e-05       5.963053959006e+01 
       2.305216707243e-05       6.029809637462e+01 
       2.331909858664e-05       6.097311855587e+01 
       2.358912102210e-05       6.165571082599e+01 
       2.386227017001e-05       6.234592211037e+01 
       2.413858223598e-05       6.304388837503e+01 
       2.441809384488e-05       6.374965930062e+01 
       2.470084204567e-05       6.446331145590e+01 
       2.498686431632e-05       6.518498578073e+01 
       2.527619856877e-05       6.591470398201e+01 
       2.556888315396e-05       6.665260718734e+01 
       2.586495686692e-05       6.739878771370e+01 
       2.616445895190e-05       6.815329013845e+01 
       2.646742910756e-05       6.891625188925e+01 
       2.677390749229e-05       6.968775679916e+01 
       2.708393472946e-05       7.046788237824e+01 
       2.739755191284e-05       7.125675482860e+01 
       2.771480061204e-05       7.205445987699e+01 
       2.803572287805e-05       7.286109712560e+01 
       2.836036124876e-05       7.367675701620e+01 
       2.868875875464e-05       7.450154718042e+01 
       2.902095892441e-05       7.533556978485e+01 
       2.935700579085e-05       7.617892159247e+01 
       2.969694389662e-05       7.703171951221e+01 
       3.004081830013e-05       7.789406388191e+01 
       3.038867458156e-05       7.876606093747e+01 
       3.074055884890e-05       7.964781931500e+01 
       3.109651774401e-05       8.053944637037e+01 
       3.145659844887e-05       8.144105505430e+01 
       3.182084869178e-05       8.235275514772e+01 
       3.218931675372e-05       8.327466020807e+01 
       3.256205147473e-05       8.420688374730e+01 
       3.293910226039e-05       8.514954256939e+01 
       3.332051908837e-05       8.610275006717e+01 
       3.370635251507e-05       8.706662983107e+01 
       3.409665368229e-05       8.804130063827e+01 
       3.449147432402e-05       8.902687921817e+01 
       3.489086677331e-05       9.002348776010e+01 
       3.529488396920e-05       9.103125271730e+01 
       3.570357946373e-05       9.205030234282e+01 
       3.611700742904e-05       9.308073793203e+01 
       3.653522266457e-05       9.412274026908e+01 
       3.695828060429e-05       9.517638034141e+01 
       3.738623732408e-05       9.624181990627e+01 
       3.781914954912e-05       9.731917579537e+01 
       3.825707466147e-05       9.840860453486e+01 
       3.870007070763e-05       9.951021741084e+01 
       3.914819640625e-05       1.006241605182e+02 
       3.960151115589e-05       1.017505806808e+02 
       4.006007504294e-05       1.028895950249e+02 
       4.052394884955e-05       1.040413704409e+02 
       4.099319406168e-05       1.052060394189e+02 
       4.146787287729e-05       1.063837281174e+02 
       4.194804821453e-05       1.075746078731e+02 
       4.243378372012e-05       1.087788129213e+02 
       4.292514377778e-05       1.099964947358e+02 
       4.342219351675e-05       1.112277974737e+02 
       4.392499882045e-05       1.124728874183e+02 
       4.443362633515e-05       1.137319167102e+02 
       4.494814347890e-05       1.150050401912e+02 
       4.546861845038e-05       1.162924016853e+02 
       4.599512023799e-05       1.175941717436e+02 
       4.652771862896e-05       1.189105110956e+02 
       4.706648421865e-05       1.202415708957e+02 
       4.761148841983e-05       1.215875426247e+02 
       4.816280347223e-05       1.229485642962e+02 
       4.872050245207e-05       1.243248479701e+02 
       4.928465928173e-05       1.257165024568e+02 
       4.985534873960e-05       1.271237276301e+02 
       5.043264646994e-05       1.285467243726e+02 
       5.101662899295e-05       1.299856359188e+02 
       5.160737371486e-05       1.314405999179e+02 
       5.220495893827e-05       1.329119361393e+02 
       5.280946387243e-05       1.343996696999e+02 
       5.342096864383e-05       1.359040940699e+02 
       5.403955430676e-05       1.374252906967e+02 
       5.466530285409e-05       1.389635702974e+02 
       5.529829722809e-05       1.405190698551e+02 
       5.593862133149e-05       1.420919610251e+02 
       5.658636003856e-05       1.436823987258e+02 
       5.724159920636e-05       1.452906755881e+02 
       5.790442568613e-05       1.469169500453e+02 
       5.857492733481e-05       1.485614465955e+02 
       5.925319302666e-05       1.502242873450e+02 
       5.993931266507e-05       1.519057519614e+02 
       6.063337719444e-05       1.536060731214e+02 
       6.133547861229e-05       1.553253512589e+02 
       6.204570998139e-05       1.570638985957e+02 
       6.276416544214e-05       1.588219153012e+02 
       6.349094022504e-05       1.605995728219e+02 
       6.422613066329e-05       1.623971370426e+02 
       6.496983420560e-05       1.642147638402e+02 
       6.572214942906e-05       1.660527613969e+02 
       6.648317605223e-05       1.679113345395e+02 
       6.725301494838e-05       1.697907009215e+02 
       6.803176815882e-05       1.716910690519e+02 
       6.881953890643e-05       1.736126890089e+02 
       6.961643160939e-05       1.755558300438e+02 
       7.042255189494e-05       1.775207005003e+02 
       7.123800661348e-05       1.795075325494e+02 
       7.206290385262e-05       1.815165716031e+02 
       7.289735295162e-05       1.835481110773e+02 
       7.374146451579e-05       1.856023932024e+02 
       7.459535043121e-05       1.876796617537e+02 
       7.545912387953e-05       1.897801329485e+02 
       7.633289935299e-05       1.919041189288e+02 
       7.721679266957e-05       1.940518395793e+02 
       7.811092098838e-05       1.962235872512e+02 
       7.901540282517e-05       1.984196299719e+02 
       7.993035806801e-05       2.006402187515e+02 
       8.085590799323e-05       2.028856404329e+02 
       8.179217528148e-05       2.051561985748e+02 
       8.273928403397e-05       2.074521239300e+02 
       8.369735978894e-05       2.097737370571e+02 
       8.466652953829e-05       2.121213189790e+02 
       8.564692174442e-05       2.144951477911e+02 
       8.663866635727e-05       2.168955142749e+02 
       8.764189483149e-05       2.193227226621e+02 
       8.865674014394e-05       2.217770663704e+02 
       8.968333681127e-05       2.242588516062e+02 
       9.072182090775e-05       2.267683748605e+02 
       9.177233008333e-05       2.293059653226e+02 
       9.283500358185e-05       2.318719252216e+02 
       9.390998225954e-05       2.344665673458e+02 
       9.499740860367e-05       2.370902118238e+02 
       9.609742675140e-05       2.397432044099e+02 
       9.721018250896e-05       2.424258358926e+02 
       9.833582337092e-05       2.451384564556e+02 
       9.947449853975e-05       2.478814020875e+02 
       1.006263589456e-04       2.506550091700e+02 
       1.017915572664e-04       2.534596026789e+02 
       1.029702479478e-04       2.562955425825e+02 
       1.041625872240e-04       2.591631757975e+02 
       1.053687331384e-04       2.620628656484e+02 
       1.065888455642e-04       2.649949438898e+02 
       1.078230862260e-04       2.679598256731e+02 
       1.090716187211e-04       2.709577796651e+02 
       1.103346085412e-04       2.739892805149e+02 
       1.116122230940e-04       2.770546321975e+02 
       1.129046317262e-04       2.801542207970e+02 
       1.142120057450e-04       2.832884344217e+02 
       1.155345184415e-04       2.864576909099e+02 
       1.168723451132e-04       2.896623267714e+02 
       1.182256630877e-04       2.929027650437e+02 
       1.195946517457e-04       2.961794018282e+02 
       1.209794925454e-04       2.994926531186e+02 
       1.223803690457e-04       3.028428918953e+02 
       1.237974669314e-04       3.062305325290e+02 
       1.252309740372e-04       3.096560392472e+02 
       1.266810803730e-04       3.131197532662e+02 
       1.281479781487e-04       3.166221501701e+02 
       1.296318618002e-04       3.201636757247e+02 
       1.311329280146e-04       3.237447218353e+02 
       1.326513757565e-04       3.273657743083e+02 
       1.341874062945e-04       3.310272422013e+02 
       1.357412232280e-04       3.347295544708e+02 
       1.373130325135e-04       3.384731987102e+02 
       1.389030424928e-04       3.422586338752e+02 
       1.405114639199e-04       3.460863206386e+02 
       1.421385099894e-04       3.499567109169e+02 
       1.437843963644e-04       3.538703076070e+02 
       1.454493412054e-04       3.578275573772e+02 
       1.471335651990e-04       3.618289575191e+02 
       1.488372915873e-04       3.658750263556e+02 
       1.505607461974e-04       3.699426463159e+02 
       1.523041574713e-04       3.740789213305e+02 
       1.540677564964e-04       3.782613003132e+02 
       1.558517770356e-04       3.824903232868e+02 
       1.576564555591e-04       3.867665415881e+02 
       1.594820312751e-04       3.910903938514e+02 
       1.613287461615e-04       3.954624496579e+02 
       1.631968449985e-04       3.998832322180e+02 
       1.650865754005e-04       4.043533062672e+02 
       1.669981878493e-04       4.088731745520e+02 
       1.689319357270e-04       4.134434386646e+02 
       1.708880753497e-04       4.180646089848e+02 
       1.728668660018e-04       4.227372682559e+02 
       1.748685699697e-04       4.274619940468e+02 
       1.768934525772e-04       4.322392997559e+02 
       1.789417822202e-04       4.370698439387e+02 
       1.810138304026e-04       4.419541860737e+02 
       1.831098717721e-04       4.468929054281e+02 
       1.852301841569e-04       4.518866096742e+02 
       1.873750486019e-04       4.569359214357e+02 
       1.895447494066e-04       4.620414049219e+02 
       1.917395741626e-04       4.672037220691e+02 
       1.939598137914e-04       4.724234067258e+02 
       1.962057625834e-04       4.777013028773e+02 
       1.984777182368e-04       4.830378150873e+02 
       2.007759818967e-04       4.884337052175e+02 
       2.031008581956e-04       4.938896346157e+02 
       2.054526552932e-04       4.994062153229e+02 
       2.078316849178e-04       5.049841284970e+02 
       2.102382624070e-04       5.106240696901e+02 
       2.126727067502e-04       5.163266499963e+02 
       2.151353406304e-04       5.220926263056e+02 
