# Matter power spectrum P(k) at redshift z=0
# for k=1.03751e-05 to 30.031 h/Mpc,
# number of wavenumbers equal to 1161
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037513961068e-05       4.786732889061e+01 
       1.049527806524e-05       4.840320922129e+01 
       1.061680765754e-05       4.894509134424e+01 
       1.073974449620e-05       4.949303750550e+01 
       1.086410487636e-05       5.004711598566e+01 
       1.098990528185e-05       5.060739509724e+01 
       1.111716238738e-05       5.117397078052e+01 
       1.124589306074e-05       5.174685433653e+01 
       1.137611436505e-05       5.232617649181e+01 
       1.150784356100e-05       5.291196770886e+01 
       1.164109810914e-05       5.350433471538e+01 
       1.177589567223e-05       5.410331912942e+01 
       1.191225411754e-05       5.470900543598e+01 
       1.205019151923e-05       5.532147275174e+01 
       1.218972616075e-05       5.594081521916e+01 
       1.233087653726e-05       5.656707008774e+01 
       1.247366135811e-05       5.720035604986e+01 
       1.261809954926e-05       5.784071973825e+01 
       1.276421025584e-05       5.848823469391e+01 
       1.291201284466e-05       5.914301883728e+01 
       1.306152690680e-05       5.980512589805e+01 
       1.321277226018e-05       6.047464888474e+01 
       1.336576895221e-05       6.115166726013e+01 
       1.352053726244e-05       6.183628062967e+01 
       1.367709770524e-05       6.252853295797e+01 
       1.383547103253e-05       6.322854331396e+01 
       1.399567823651e-05       6.393640212026e+01 
       1.415774055249e-05       6.465215763184e+01 
       1.432167946164e-05       6.537596003930e+01 
       1.448751669389e-05       6.610783626211e+01 
       1.465527423079e-05       6.684791759765e+01 
       1.482497430841e-05       6.759629250263e+01 
       1.499663942032e-05       6.835302859543e+01 
       1.517029232054e-05       6.911824464606e+01 
       1.534595602657e-05       6.989202629904e+01 
       1.552365382246e-05       7.067448818607e+01 
       1.570340926184e-05       7.146569318373e+01 
       1.588524617111e-05       7.226574548668e+01 
       1.606918865256e-05       7.307476740841e+01 
       1.625526108756e-05       7.389284039508e+01 
       1.644348813980e-05       7.472007368467e+01 
       1.663389475859e-05       7.555655693362e+01 
       1.682650618211e-05       7.640242371595e+01 
       1.702134794080e-05       7.725773142528e+01 
       1.721844586072e-05       7.812264613691e+01 
       1.741782606699e-05       7.899721474962e+01 
       1.761951498724e-05       7.988159716790e+01 
       1.782353935512e-05       8.077588996804e+01 
       1.802992621383e-05       8.168014690043e+01 
       1.823870291973e-05       8.259457381375e+01 
       1.844989714595e-05       8.351921447330e+01 
       1.866353688605e-05       8.445421089534e+01 
       1.887965045775e-05       8.539967520291e+01 
       1.909826650667e-05       8.635571631561e+01 
       1.931941401013e-05       8.732246925018e+01 
       1.954312228099e-05       8.830004129392e+01 
       1.976942097154e-05       8.928856485693e+01 
       1.999834007742e-05       9.028813250763e+01 
       2.022990994162e-05       9.129892692861e+01 
       2.046416125847e-05       9.232101010809e+01 
       2.070112507773e-05       9.335453344096e+01 
       2.094083280870e-05       9.439961859914e+01 
       2.118331622437e-05       9.545643013081e+01 
       2.142860746566e-05       9.652503614802e+01 
       2.167673904567e-05       9.760562435593e+01 
       2.192774385395e-05       9.869833190005e+01 
       2.218165516093e-05       9.980323333845e+01 
       2.243850662227e-05       1.009205117668e+02 
       2.269833228337e-05       1.020503250497e+02 
       2.296116658382e-05       1.031927563538e+02 
       2.322704436203e-05       1.043479745890e+02 
       2.349600085981e-05       1.055161360891e+02 
       2.376807172706e-05       1.066973739404e+02 
       2.404329302647e-05       1.078918298338e+02 
       2.432170123833e-05       1.090996546239e+02 
       2.460333326534e-05       1.103210054418e+02 
       2.488822643752e-05       1.115560276640e+02 
       2.517641851717e-05       1.128048834287e+02 
       2.546794770382e-05       1.140677075699e+02 
       2.576285263935e-05       1.153446663695e+02 
       2.606117241309e-05       1.166359267048e+02 
       2.636294656700e-05       1.179416404724e+02 
       2.666821510093e-05       1.192619634043e+02 
       2.697701847789e-05       1.205970757776e+02 
       2.728939762942e-05       1.219471330093e+02 
       2.760539396105e-05       1.233122970877e+02 
       2.792504935775e-05       1.246927303588e+02 
       2.824840618949e-05       1.260886327216e+02 
